Municipio,Total
Ocosingo,716.0
Pantelhó ,122.0
La Libertad,35.0
Acacoyagua,103.0
Tenejapa ,254.0
Villa Corzo,331.0
Francisco León,32.0
Amatenango de la Frontera,172.0
Las Margaritas,542.0
Ocotepec,86.0
San Fernando,202.0
San Lucas,50.0
Motozintla,363.0
Arriaga,284.0
Ostuacán,98.0
Pantepec,63.0
Tapachula,2211.0
Pueblo Nuevo Solistahuacán,133.0
Huitiupán,127.0
Venustiano Carranza,386.0
Nicolás Ruíz ,20.0
Marqués de Comillas,47.0
Suchiate,258.0
Unión Juárez,108.0
Mapastepec,313.0
Mazapa de Madero,50.0
Chanal ,62.0
Soyaló,62.0
Berriozábal,278.0
Jiquipilas,308.0
Total estatal,28317.0
Chicoasén ,30.0
Chilón ,499.0
Mitontic ,58.0
Aldama ,32.0
Benemérito de las Américas,109.0
La Independencia,218.0
Metapa ,40.0
La Trinitaria,450.0
Acala,151.0
La Concordia,252.0
Tila ,338.0
Socoltenango,103.0
Totolapa,33.0
Bejucal de Ocampo,30.0
Montecristo de Guerrero,42.0
Osumacinta ,18.0
Chapultenango,46.0
Tonalá,610.0
Tapilula,62.0
Amatenango del Valle ,31.0
Maravilla Tenejapa ,39.0
Chiapilla,38.0
Acapetahua,214.0
Ixtacomitán,74.0
Amatán,150.0
Suchiapa,158.0
Chicomuselo,155.0
Siltepec,172.0
Santiago el Pinar ,19.0
Chiapa de Corzo,550.0
La Grandeza ,40.0
Chamula ,435.0
Ocozocoautla de Espinosa,497.0
San Andrés Duraznal ,11.0
Huixtán,134.0
Palenque,603.0
Tumbalá ,143.0
Ixtapa,120.0
Tuxtla Gutiérrez,3128.0
Tapalapa ,28.0
Frontera Comalapa,398.0
Sunuapa ,12.0
Juárez,153.0
Bella Vista,93.0
Huixtla,388.0
Chenalhó ,198.0
Cacahoatán,285.0
Chalchihuitán ,111.0
Teopisca,193.0
Tzimol,76.0
Jitotol ,113.0
Pichucalco,223.0
Oxchuc,265.0
Comitán de Domínguez,831.0
Tuxtla Chico,332.0
Rayón,54.0
Solosuchiapa,49.0
Tecpatán,139.0
San Juan Cancuc ,168.0
Altamirano ,102.0
Bochil,169.0
Tuzantán,225.0
Catazajá,129.0
Coapilla,55.0
Frontera Hidalgo,99.0
Ixtapangajoya ,40.0
Cintalapa,519.0
Copainalá,125.0
Ixhuatán,53.0
Salto de Agua,284.0
Reforma,264.0
San Cristóbal de las Casas,912.0
Huehuetán,266.0
Zinacantán ,193.0
Sabanilla ,128.0
Larráinzar ,129.0
El Bosque ,110.0
El Porvenir,77.0
Angel Albino Corzo,150.0
Villa Comaltitlán,184.0
Simojovel ,177.0
Sitalá ,66.0
Escuintla,180.0
Villaflores,657.0
Yajalón,184.0
Mazatán,216.0
Pijijiapan,350.0
Las Rosas,173.0
