Municipio,Total
Ocosingo,24.4944519204568
Pantelhó ,137.068066726301
La Libertad,11.4583850582217
Acacoyagua,72.5448957726446
Tenejapa ,250.243087034669
Villa Corzo,27.4999862825789
Francisco León,34.484560396912
Amatenango de la Frontera,125.154469424263
Las Margaritas,46.7689758659223
Ocotepec,230.426739211861
San Fernando,116.240527098043
San Lucas,80.0334424258737
Motozintla,130.748024185855
Arriaga,50.9253775063403
Ostuacán,30.8851884009245
Pantepec,116.073069316655
Tapachula,360.873835353368
Pueblo Nuevo Solistahuacán,166.797906337258
Huitiupán,82.254953149799
Venustiano Carranza,49.4798159889711
Nicolás Ruíz ,161.373423366202
Marqués de Comillas,14.1782180590265
Suchiate,176.486723453219
Unión Juárez,258.045977178529
Mapastepec,37.8250800509407
Mazapa de Madero,71.6319257973423
Chanal ,33.6325183441319
Soyaló,113.337164332086
Berriozábal,183.628492602511
Jiquipilas,31.5547311780494
Total estatal,75.6207227426424
Chicoasén ,46.8371849394402
Chilón ,81.9727156138944
Mitontic ,376.48356211307
Aldama ,316.305476833434
Benemérito de las Américas,21.5956592714836
La Independencia,90.2492268889938
Metapa ,258.217900703373
La Trinitaria,51.84988930125
Acala,69.5638495401381
La Concordia,19.4103660766668
Tila ,104.217307778857
Socoltenango,30.1733516153989
Totolapa,42.7879793254019
Bejucal de Ocampo,93.5580978360222
Montecristo de Guerrero,42.5063277501854
Osumacinta ,43.1539998848056
Chapultenango,41.1851970491121
Tonalá,49.615336750019
Tapilula,363.197878136002
Amatenango del Valle ,74.1839256085172
Maravilla Tenejapa ,27.1048852954907
Chiapilla,119.759624201816
Acapetahua,48.051023221469
Ixtacomitán,87.512373713519
Amatán,77.5865481599002
Suchiapa,90.2725049862531
Chicomuselo,36.930927982117
Siltepec,67.4493830675813
Santiago el Pinar ,299.894400160582
Chiapa de Corzo,142.042173372114
La Grandeza ,158.161290550192
Chamula ,295.894458941194
Ocozocoautla de Espinosa,46.7373097167992
San Andrés Duraznal ,157.734425436517
Huixtán,73.9280147744546
Palenque,45.7984852022594
Tumbalá ,94.5437132109889
Ixtapa,103.90950998625
Tuxtla Gutiérrez,1804.07303869064
Tapalapa ,68.7907539925495
Frontera Comalapa,105.821394058095
Sunuapa ,29.4631500510486
Juárez,29.3579077200316
Bella Vista,94.313730186786
Huixtla,134.403477455842
Chenalhó ,188.484224185166
Cacahoatán,287.740866429732
Chalchihuitán ,118.273567767802
Teopisca,174.595575229448
Tzimol,46.2325245417007
Jitotol ,106.122783791182
Pichucalco,53.8127608327996
Oxchuc,131.900008788769
Comitán de Domínguez,169.943433894728
Tuxtla Chico,247.359968029612
Rayón,167.31338904059
Solosuchiapa,54.7631615464734
Tecpatán,41.0730901309674
San Juan Cancuc ,219.301345715963
Altamirano ,37.8597002561132
Bochil,102.033080645096
Tuzantán,173.903326005554
Catazajá,27.9787362862545
Coapilla,63.8667277452526
Frontera Hidalgo,154.781639736179
Ixtapangajoya ,58.5954795603674
Cintalapa,36.1023829365712
Copainalá,64.0622330849743
Ixhuatán,120.56423662591
Salto de Agua,52.0948904175647
Reforma,103.079363768448
San Cristóbal de las Casas,547.663049059209
Huehuetán,119.842774682761
Zinacantán ,233.152409689225
Sabanilla ,119.579002264707
Larráinzar ,210.081953179621
El Bosque ,152.511788758048
El Porvenir,148.353027657666
Angel Albino Corzo,54.99665002101
Villa Comaltitlán,68.012493900113
Simojovel ,168.61235169057
Sitalá ,147.225699394452
Escuintla,74.1111121318607
Villaflores,57.6687124392782
Yajalón,192.507362754342
Mazatán,73.8345903494571
Pijijiapan,29.1431106816726
Las Rosas,122.776551526001
