Municipio,Total
Ocosingo,20.0
Pantelhó ,18.0
La Libertad,33.0
Acacoyagua,24.0
Tenejapa ,18.0
Villa Corzo,26.0
Francisco León,22.0
Amatenango de la Frontera,24.0
Las Margaritas,22.0
Ocotepec,17.0
San Fernando,26.0
San Lucas,23.0
Motozintla,23.0
Arriaga,31.0
Ostuacán,24.0
Pantepec,22.0
Tapachula,28.0
Pueblo Nuevo Solistahuacán,20.0
Huitiupán,21.0
Venustiano Carranza,27.0
Nicolás Ruíz ,22.0
Marqués de Comillas,20.0
Suchiate,24.0
Unión Juárez,27.0
Mapastepec,27.0
Mazapa de Madero,24.0
Chanal ,15.0
Soyaló,24.0
Berriozábal,25.0
Jiquipilas,30.0
Total estatal,24.0
Chicoasén ,26.0
Chilón ,18.0
Mitontic ,16.0
Aldama ,17.0
Benemérito de las Américas,21.0
La Independencia,25.0
Metapa ,27.0
La Trinitaria,26.0
Acala,27.0
La Concordia,25.0
Tila ,22.0
Socoltenango,27.0
Totolapa,24.0
Bejucal de Ocampo,23.0
Montecristo de Guerrero,22.0
Osumacinta ,25.0
Chapultenango,24.0
Tonalá,29.0
Tapilula,25.0
Amatenango del Valle ,22.0
Maravilla Tenejapa ,19.0
Chiapilla,28.0
Acapetahua,28.0
Ixtacomitán,25.0
Amatán,22.0
Suchiapa,26.0
Chicomuselo,25.0
Siltepec,22.0
Santiago el Pinar ,17.0
Chiapa de Corzo,27.0
La Grandeza ,21.0
Chamula ,19.0
Ocozocoautla de Espinosa,24.0
San Andrés Duraznal ,18.0
Huixtán,21.0
Palenque,24.0
Tumbalá ,22.0
Ixtapa,23.0
Tuxtla Gutiérrez,30.0
Tapalapa ,23.0
Frontera Comalapa,25.0
Sunuapa ,26.5
Juárez,29.0
Bella Vista,24.0
Huixtla,28.0
Chenalhó ,19.0
Cacahoatán,25.0
Chalchihuitán ,17.0
Teopisca,21.0
Tzimol,28.0
Jitotol ,19.0
Pichucalco,28.0
Oxchuc,18.0
Comitán de Domínguez,27.0
Tuxtla Chico,28.0
Rayón,21.0
Solosuchiapa,23.0
Tecpatán,26.0
San Juan Cancuc ,17.0
Altamirano ,21.0
Bochil,20.0
Tuzantán,26.0
Catazajá,32.0
Coapilla,23.0
Frontera Hidalgo,26.0
Ixtapangajoya ,25.0
Cintalapa,27.0
Copainalá,27.0
Ixhuatán,22.0
Salto de Agua,23.0
Reforma,27.0
San Cristóbal de las Casas,26.0
Huehuetán,27.0
Zinacantán ,21.0
Sabanilla ,22.0
Larráinzar ,17.0
El Bosque ,20.0
El Porvenir,22.0
Angel Albino Corzo,23.0
Villa Comaltitlán,27.0
Simojovel ,19.0
Sitalá ,18.0
Escuintla,25.0
Villaflores,27.0
Yajalón,23.0
Mazatán,28.0
Pijijiapan,29.0
Las Rosas,25.0
