Municipio,Total
Ocosingo,8982.0
Pantelhó ,1197.0
La Libertad,133.0
Acacoyagua,552.0
Tenejapa ,1672.0
Villa Corzo,1381.0
Francisco León,169.0
Amatenango de la Frontera,812.0
Las Margaritas,3283.0
Ocotepec,525.0
San Fernando,845.0
San Lucas,172.0
Motozintla,2101.0
Arriaga,713.0
Ostuacán,400.0
Pantepec,371.0
Tapachula,9516.0
Pueblo Nuevo Solistahuacán,927.0
Huitiupán,798.0
Venustiano Carranza,1195.0
Nicolás Ruíz ,112.0
Marqués de Comillas,455.0
Suchiate,1316.0
Unión Juárez,392.0
Mapastepec,957.0
Mazapa de Madero,276.0
Chanal ,622.0
Soyaló,236.0
Berriozábal,1319.0
Jiquipilas,776.0
Total estatal,140265.0
Chicoasén ,136.0
Chilón ,4260.0
Mitontic ,792.0
Aldama ,250.0
Benemérito de las Américas,691.0
La Independencia,1081.0
Metapa ,112.0
La Trinitaria,2077.0
Acala,562.0
La Concordia,1114.0
Tila ,2140.0
Socoltenango,387.0
Totolapa,162.0
Bejucal de Ocampo,169.0
Montecristo de Guerrero,455.0
Osumacinta ,108.0
Chapultenango,190.0
Tonalá,1829.0
Tapilula,286.0
Amatenango del Valle ,387.0
Maravilla Tenejapa ,468.0
Chiapilla,99.0
Acapetahua,640.0
Ixtacomitán,271.0
Amatán,752.0
Suchiapa,499.0
Chicomuselo,839.0
Siltepec,1149.0
Santiago el Pinar ,235.0
Chiapa de Corzo,1981.0
La Grandeza ,214.0
Chamula ,3595.0
Ocozocoautla de Espinosa,2232.0
San Andrés Duraznal ,186.0
Huixtán,731.0
Palenque,3082.0
Tumbalá ,968.0
Ixtapa,618.0
Tuxtla Gutiérrez,10062.0
Tapalapa ,117.0
Frontera Comalapa,2378.0
Sunuapa ,43.0
Juárez,334.0
Bella Vista,401.0
Huixtla,1274.0
Chenalhó ,1426.0
Cacahoatán,1426.0
Chalchihuitán ,991.0
Teopisca,1350.0
Tzimol,283.0
Jitotol ,726.0
Pichucalco,511.0
Oxchuc,2019.0
Comitán de Domínguez,2957.0
Tuxtla Chico,796.0
Rayón,236.0
Solosuchiapa,220.0
Tecpatán,486.0
San Juan Cancuc ,1798.0
Altamirano ,967.0
Bochil,1122.0
Tuzantán,705.0
Catazajá,335.0
Coapilla,246.0
Frontera Hidalgo,1249.0
Ixtapangajoya ,151.0
Cintalapa,2177.0
Copainalá,390.0
Ixhuatán,295.0
Salto de Agua,1529.0
Reforma,749.0
San Cristóbal de las Casas,4763.0
Huehuetán,795.0
Zinacantán ,1279.0
Sabanilla ,1194.0
Larráinzar ,1180.0
El Bosque ,1002.0
El Porvenir,250.0
Angel Albino Corzo,753.0
Villa Comaltitlán,698.0
Simojovel ,2090.0
Sitalá ,688.0
Escuintla,756.0
Villaflores,2184.0
Yajalón,1686.0
Mazatán,654.0
Pijijiapan,866.0
Las Rosas,552.0
