Municipio,Total
Ocosingo,125728.0
Pantelhó ,15544.0
La Libertad,110.0
Acacoyagua,29.0
Tenejapa ,33907.0
Villa Corzo,3966.0
Francisco León,4632.0
Amatenango de la Frontera,893.0
Las Margaritas,47219.0
Ocotepec,9842.0
San Fernando,488.0
San Lucas,831.0
Motozintla,752.0
Arriaga,245.0
Ostuacán,610.0
Pantepec,4408.0
Tapachula,4277.0
Pueblo Nuevo Solistahuacán,12814.0
Huitiupán,12475.0
Venustiano Carranza,12206.0
Nicolás Ruíz ,53.0
Marqués de Comillas,3863.0
Suchiate,81.0
Unión Juárez,144.0
Mapastepec,131.0
Mazapa de Madero,148.0
Chanal ,8856.0
Soyaló,2589.0
Berriozábal,1525.0
Jiquipilas,1906.0
Total estatal,1.141499e6
Chicoasén ,388.0
Chilón ,90068.0
Mitontic ,9114.0
Aldama ,3838.0
Benemérito de las Américas,4337.0
La Independencia,1692.0
Metapa ,4.0
La Trinitaria,6491.0
Acala,3283.0
La Concordia,2614.0
Tila ,58556.0
Socoltenango,955.0
Totolapa,301.0
Bejucal de Ocampo,84.0
Montecristo de Guerrero,76.0
Osumacinta ,344.0
Chapultenango,5149.0
Tonalá,281.0
Tapilula,950.0
Amatenango del Valle ,5511.0
Maravilla Tenejapa ,4275.0
Chiapilla,199.0
Acapetahua,59.0
Ixtacomitán,2176.0
Amatán,6676.0
Suchiapa,44.0
Chicomuselo,171.0
Siltepec,95.0
Santiago el Pinar ,2609.0
Chiapa de Corzo,3267.0
La Grandeza ,79.0
Chamula ,65250.0
Ocozocoautla de Espinosa,12483.0
San Andrés Duraznal ,3627.0
Huixtán,17510.0
Palenque,43325.0
Tumbalá ,26679.0
Ixtapa,4749.0
Tuxtla Gutiérrez,11074.0
Tapalapa ,3478.0
Frontera Comalapa,967.0
Sunuapa ,7.0
Juárez,1005.0
Bella Vista,151.0
Huixtla,198.0
Chenalhó ,29670.0
Cacahoatán,784.0
Chalchihuitán ,11671.0
Teopisca,13799.0
Tzimol,188.0
Jitotol ,11465.0
Pichucalco,314.0
Oxchuc,36301.0
Comitán de Domínguez,5420.0
Tuxtla Chico,86.0
Rayón,2459.0
Solosuchiapa,1091.0
Tecpatán,7451.0
San Juan Cancuc ,23998.0
Altamirano ,15458.0
Bochil,13355.0
Tuzantán,127.0
Catazajá,438.0
Coapilla,1141.0
Frontera Hidalgo,4.0
Ixtapangajoya ,755.0
Cintalapa,4626.0
Copainalá,1631.0
Ixhuatán,3610.0
Salto de Agua,42075.0
Reforma,174.0
San Cristóbal de las Casas,59943.0
Huehuetán,80.0
Zinacantán ,30423.0
Sabanilla ,17215.0
Larráinzar ,15971.0
El Bosque ,14906.0
El Porvenir,803.0
Angel Albino Corzo,762.0
Villa Comaltitlán,174.0
Simojovel ,25094.0
Sitalá ,9887.0
Escuintla,392.0
Villaflores,2042.0
Yajalón,19497.0
Mazatán,98.0
Pijijiapan,324.0
Las Rosas,1336.0
