Municipio,Total
Ocosingo,234661.0
Pantelhó ,26391.0
La Libertad,5232.0
Acacoyagua,17994.0
Tenejapa ,48162.0
Villa Corzo,65643.0
Francisco León,7245.0
Amatenango de la Frontera,31735.0
Las Margaritas,141027.0
Ocotepec,14088.0
San Fernando,41793.0
San Lucas,7526.0
Motozintla,76398.0
Arriaga,41135.0
Ostuacán,18469.0
Pantepec,12266.0
Tapachula,353706.0
Pueblo Nuevo Solistahuacán,29636.0
Huitiupán,27893.0
Venustiano Carranza,67292.0
Nicolás Ruíz ,4765.0
Marqués de Comillas,12892.0
Suchiate,41672.0
Unión Juárez,16008.0
Mapastepec,46130.0
Mazapa de Madero,7901.0
Chanal ,13678.0
Soyaló,10890.0
Berriozábal,64632.0
Jiquipilas,41063.0
Total estatal,5.543828e6
Chicoasén ,5402.0
Chilón ,137262.0
Mitontic ,13755.0
Aldama ,8480.0
Benemérito de las Américas,23603.0
La Independencia,46409.0
Metapa ,5876.0
La Trinitaria,83111.0
Acala,21187.0
La Concordia,49920.0
Tila ,83505.0
Socoltenango,19092.0
Totolapa,7211.0
Bejucal de Ocampo,7365.0
Montecristo de Guerrero,8412.0
Osumacinta ,3983.0
Chapultenango,7472.0
Tonalá,91913.0
Tapilula,13592.0
Amatenango del Valle ,11283.0
Maravilla Tenejapa ,14714.0
Chiapilla,6156.0
Acapetahua,26899.0
Ixtacomitán,10961.0
Amatán,24512.0
Suchiapa,25627.0
Chicomuselo,36785.0
Siltepec,25937.0
Santiago el Pinar ,4959.0
Chiapa de Corzo,112075.0
La Grandeza ,7701.0
Chamula ,101967.0
Ocozocoautla de Espinosa,97397.0
San Andrés Duraznal ,6047.0
Huixtán,22975.0
Palenque,132265.0
Tumbalá ,38025.0
Ixtapa,28999.0
Tuxtla Gutiérrez,604147.0
Tapalapa ,4547.0
Frontera Comalapa,80897.0
Sunuapa ,2308.0
Juárez,21807.0
Bella Vista,20157.0
Huixtla,53242.0
Chenalhó ,47371.0
Cacahoatán,50112.0
Chalchihuitán ,21915.0
Teopisca,49499.0
Tzimol,16560.0
Jitotol ,24966.0
Pichucalco,31919.0
Oxchuc,54932.0
Comitán de Domínguez,166178.0
Tuxtla Chico,41024.0
Rayón,10866.0
Solosuchiapa,8561.0
Tecpatán,21426.0
San Juan Cancuc ,37948.0
Altamirano ,36160.0
Bochil,37263.0
Tuzantán,30302.0
Catazajá,17619.0
Coapilla,9900.0
Frontera Hidalgo,14556.0
Ixtapangajoya ,6284.0
Cintalapa,88106.0
Copainalá,22192.0
Ixhuatán,11377.0
Salto de Agua,64251.0
Reforma,44829.0
San Cristóbal de las Casas,215874.0
Huehuetán,36333.0
Zinacantán ,45373.0
Sabanilla ,29889.0
Larráinzar ,31259.0
El Bosque ,24273.0
El Porvenir,12263.0
Angel Albino Corzo,31947.0
Villa Comaltitlán,30297.0
Simojovel ,52935.0
Sitalá ,15518.0
Escuintla,30896.0
Villaflores,109536.0
Yajalón,40285.0
Mazatán,28250.0
Pijijiapan,51193.0
Las Rosas,28829.0
