Municipio,Porcentaje de hombres
Ocosingo,49.3345719996079
Pantelhó ,49.0697586298359
La Libertad,49.8279816513761
Acacoyagua,50.0
Tenejapa ,48.3950002076326
Villa Corzo,49.2741038648447
Francisco León,50.6970324361629
Amatenango de la Frontera,48.6150937450764
Las Margaritas,48.8495110865295
Ocotepec,48.8287904599659
San Fernando,49.9413777426842
San Lucas,50.3853308530428
Motozintla,48.9868844734155
Arriaga,48.5085693448402
Ostuacán,49.7482267583518
Pantepec,49.3559432577858
Tapachula,48.5176954872125
Pueblo Nuevo Solistahuacán,48.6975300310433
Huitiupán,50.1738787509411
Venustiano Carranza,49.781549069726
Nicolás Ruíz ,51.2067156348374
Marqués de Comillas,50.4033509152963
Suchiate,49.1481090420426
Unión Juárez,49.0192403798101
Mapastepec,49.3843485800997
Mazapa de Madero,49.2975572712315
Chanal ,49.2323439099284
Soyaló,50.1836547291093
Berriozábal,49.3780170813219
Jiquipilas,49.606701897085
Total estatal,48.8100821309752
Chicoasén ,50.0
Chilón ,49.042706648599
Mitontic ,48.9494729189386
Aldama ,47.6415094339623
Benemérito de las Américas,50.0529593695717
La Independencia,48.6478915727553
Metapa ,46.9026548672566
La Trinitaria,48.2631661272274
Acala,49.1527823665455
La Concordia,50.3465544871795
Tila ,49.9383270462847
Socoltenango,49.3033731405824
Totolapa,50.4784357232007
Bejucal de Ocampo,49.5858791581806
Montecristo de Guerrero,50.1069900142653
Osumacinta ,49.6861662063771
Chapultenango,49.9866167023555
Tonalá,49.2650658775146
Tapilula,48.2783990582696
Amatenango del Valle ,47.6203137463441
Maravilla Tenejapa ,49.8300937882289
Chiapilla,50.454840805718
Acapetahua,49.0166920703372
Ixtacomitán,49.438919806587
Amatán,50.2937336814621
Suchiapa,49.7756272681157
Chicomuselo,49.3108604050564
Siltepec,50.2216910205498
Santiago el Pinar ,49.4252873563218
Chiapa de Corzo,49.2223957171537
La Grandeza ,48.8897545773276
Chamula ,46.0423470338443
Ocozocoautla de Espinosa,49.3547029169276
San Andrés Duraznal ,48.4207044815611
Huixtán,49.0272034820457
Palenque,49.2012248138207
Tumbalá ,48.6706114398422
Ixtapa,49.2637677161281
Tuxtla Gutiérrez,47.5917285031623
Tapalapa ,48.5814822960194
Frontera Comalapa,48.4059977502256
Sunuapa ,50.9098786828423
Juárez,49.3969826202595
Bella Vista,49.6204792379818
Huixtla,48.9820066864505
Chenalhó ,48.9624453779739
Cacahoatán,48.7448116219668
Chalchihuitán ,49.6144193474789
Teopisca,48.3726943978666
Tzimol,49.0217391304348
Jitotol ,49.7756949451254
Pichucalco,49.0366239543845
Oxchuc,50.087380761669
Comitán de Domínguez,47.8041618024046
Tuxtla Chico,48.2083658346334
Rayón,49.2177434198417
Solosuchiapa,50.7417357785305
Tecpatán,49.7713058900401
San Juan Cancuc ,48.7957204595763
Altamirano ,49.8672566371681
Bochil,48.8634838848187
Tuzantán,49.1716718368424
Catazajá,50.4114875986151
Coapilla,49.2222222222222
Frontera Hidalgo,49.2992580379225
Ixtapangajoya ,49.6817313812858
Cintalapa,49.5732413229519
Copainalá,48.8734679163663
Ixhuatán,48.6859453282939
Salto de Agua,49.5649873153725
Reforma,48.870151018314
San Cristóbal de las Casas,47.3850486858075
Huehuetán,48.7463187735667
Zinacantán ,46.5364864567033
Sabanilla ,49.9213757569674
Larráinzar ,48.638792027896
El Bosque ,48.2470234416842
El Porvenir,49.775748185599
Angel Albino Corzo,49.7855823708016
Villa Comaltitlán,51.4176321087896
Simojovel ,48.9052611693587
Sitalá ,49.130042531254
Escuintla,49.2426204039358
Villaflores,49.1235758106924
Yajalón,48.6285217823011
Mazatán,49.6176991150443
Pijijiapan,49.0516281522864
Las Rosas,49.0270214020604
