Municipio,Porcentaje de mujeres
Ocosingo,50.6654280003921
Pantelhó ,50.9302413701641
La Libertad,50.1720183486239
Acacoyagua,50.0
Tenejapa ,51.6049997923674
Villa Corzo,50.7258961351553
Francisco León,49.3029675638371
Amatenango de la Frontera,51.3849062549236
Las Margaritas,51.1504889134705
Ocotepec,51.1712095400341
San Fernando,50.0586222573158
San Lucas,49.6146691469572
Motozintla,51.0131155265845
Arriaga,51.4914306551598
Ostuacán,50.2517732416482
Pantepec,50.6440567422142
Tapachula,51.4823045127875
Pueblo Nuevo Solistahuacán,51.3024699689567
Huitiupán,49.8261212490589
Venustiano Carranza,50.218450930274
Nicolás Ruíz ,48.7932843651626
Marqués de Comillas,49.5966490847037
Suchiate,50.8518909579574
Unión Juárez,50.9807596201899
Mapastepec,50.6156514199003
Mazapa de Madero,50.7024427287685
Chanal ,50.7676560900716
Soyaló,49.8163452708907
Berriozábal,50.6219829186781
Jiquipilas,50.393298102915
Total estatal,51.1899178690248
Chicoasén ,50.0
Chilón ,50.957293351401
Mitontic ,51.0505270810614
Aldama ,52.3584905660377
Benemérito de las Américas,49.9470406304283
La Independencia,51.3521084272447
Metapa ,53.0973451327434
La Trinitaria,51.7368338727726
Acala,50.8472176334545
La Concordia,49.6534455128205
Tila ,50.0616729537153
Socoltenango,50.6966268594176
Totolapa,49.5215642767993
Bejucal de Ocampo,50.4141208418194
Montecristo de Guerrero,49.8930099857347
Osumacinta ,50.3138337936229
Chapultenango,50.0133832976445
Tonalá,50.7349341224854
Tapilula,51.7216009417304
Amatenango del Valle ,52.3796862536559
Maravilla Tenejapa ,50.1699062117711
Chiapilla,49.545159194282
Acapetahua,50.9833079296628
Ixtacomitán,50.561080193413
Amatán,49.7062663185379
Suchiapa,50.2243727318843
Chicomuselo,50.6891395949436
Siltepec,49.7783089794502
Santiago el Pinar ,50.5747126436782
Chiapa de Corzo,50.7776042828463
La Grandeza ,51.1102454226724
Chamula ,53.9576529661557
Ocozocoautla de Espinosa,50.6452970830724
San Andrés Duraznal ,51.5792955184389
Huixtán,50.9727965179543
Palenque,50.7987751861793
Tumbalá ,51.3293885601578
Ixtapa,50.7362322838719
Tuxtla Gutiérrez,52.4082714968377
Tapalapa ,51.4185177039806
Frontera Comalapa,51.5940022497744
Sunuapa ,49.0901213171577
Juárez,50.6030173797404
Bella Vista,50.3795207620182
Huixtla,51.0179933135495
Chenalhó ,51.0375546220261
Cacahoatán,51.2551883780332
Chalchihuitán ,50.3855806525211
Teopisca,51.6273056021334
Tzimol,50.9782608695652
Jitotol ,50.2243050548746
Pichucalco,50.9633760456155
Oxchuc,49.912619238331
Comitán de Domínguez,52.1958381975953
Tuxtla Chico,51.7916341653666
Rayón,50.7822565801583
Solosuchiapa,49.2582642214695
Tecpatán,50.2286941099599
San Juan Cancuc ,51.2042795404237
Altamirano ,50.1327433628319
Bochil,51.1365161151813
Tuzantán,50.8283281631575
Catazajá,49.5885124013849
Coapilla,50.7777777777778
Frontera Hidalgo,50.7007419620775
Ixtapangajoya ,50.3182686187142
Cintalapa,50.4267586770481
Copainalá,51.1265320836337
Ixhuatán,51.3140546717061
Salto de Agua,50.4350126846275
Reforma,51.129848981686
San Cristóbal de las Casas,52.6149513141925
Huehuetán,51.2536812264333
Zinacantán ,53.4635135432967
Sabanilla ,50.0786242430326
Larráinzar ,51.361207972104
El Bosque ,51.7529765583158
El Porvenir,50.224251814401
Angel Albino Corzo,50.2144176291984
Villa Comaltitlán,48.5823678912103
Simojovel ,51.0947388306413
Sitalá ,50.869957468746
Escuintla,50.7573795960642
Villaflores,50.8764241893076
Yajalón,51.3714782176989
Mazatán,50.3823008849558
Pijijiapan,50.9483718477136
Las Rosas,50.9729785979396
