Municipio,Total
Tlaltenango de Sánchez Román,224.0
Teúl de González Ortega,23.0
Concepción del Oro,144.0
Tabasco,32.0
Sombrerete,13.0
Vetagrande,392.0
Jiménez del Teul,997.0
Ojocaliente,317.0
Benito Juárez,78.0
Tepechitlán,406.0
Chalchihuites,312.0
Miguel Auza,223.0
Momax ,53.0
Calera,122.0
Villanueva,131.0
Moyahua de Estrada,3.0
El Salvador,16.0
Total estatal,24964.0
Apozol,80.0
Luis Moya,90.0
General Pánfilo Natera,37.0
Monte Escobedo,327.0
Zacatecas,16.0
Melchor Ocampo,389.0
Susticacán ,29.0
General Francisco R. Murguía,16.0
Atolinga,66.0
Fresnillo,183.0
Mazapil,31.0
Juan Aldama,44.0
Villa González Ortega,54.0
Jerez,34.0
Nochistlán de Mejía,60.0
Cañitas de Felipe Pescador,57.0
Santa María de la Paz,24.0
Trancoso,23.0
Trinidad García de la Cadena,388.0
Genaro Codina,77.0
El Plateado de Joaquín Amaro,10.0
Jalpa,6062.0
Loreto,43.0
Pánuco,9269.0
Villa de Cos,50.0
Noria de Ángeles,64.0
Morelos,796.0
Villa García,228.0
Huanusco,61.0
Tepetongo,20.0
Sain Alto,220.0
Mezquital del Oro,52.0
Juchipila,45.0
Apulco,195.0
General Enrique Estrada,73.0
Guadalupe,1242.0
Pinos,42.0
Río Grande,42.0
Cuauhtémoc,76.0
Villa Hidalgo,43.0
Valparaíso,19.0
