Municipio,Total
Tlaltenango de Sánchez Román,34.0
Teúl de González Ortega,28.0
Concepción del Oro,24.0
Tabasco,33.0
Sombrerete,42.0
Vetagrande,29.0
Jiménez del Teul,30.0
Ojocaliente,29.0
Benito Juárez,28.0
Tepechitlán,29.0
Chalchihuites,28.0
Miguel Auza,21.0
Momax ,24.0
Calera,26.0
Villanueva,31.0
Moyahua de Estrada,36.0
El Salvador,28.0
Total estatal,29.0
Apozol,25.0
Luis Moya,36.0
General Pánfilo Natera,32.0
Monte Escobedo,32.0
Zacatecas,39.0
Melchor Ocampo,24.0
Susticacán ,38.0
General Francisco R. Murguía,36.0
Atolinga,35.0
Fresnillo,27.0
Mazapil,44.0
Juan Aldama,46.0
Villa González Ortega,30.0
Jerez,28.0
Nochistlán de Mejía,40.0
Cañitas de Felipe Pescador,37.0
Santa María de la Paz,36.0
Trancoso,40.0
Trinidad García de la Cadena,30.0
Genaro Codina,26.0
El Plateado de Joaquín Amaro,39.0
Jalpa,31.0
Loreto,37.0
Pánuco,28.0
Villa de Cos,26.0
Noria de Ángeles,26.0
Morelos,30.0
Villa García,32.0
Huanusco,33.0
Tepetongo,23.0
Sain Alto,31.0
Mezquital del Oro,30.0
Juchipila,23.0
Apulco,30.0
General Enrique Estrada,29.0
Guadalupe,28.0
Pinos,32.0
Río Grande,33.0
Cuauhtémoc,21.0
Villa Hidalgo,26.0
Valparaíso,32.0
