Municipio,Total
Tlaltenango de Sánchez Román,362.0
Teúl de González Ortega,97.0
Concepción del Oro,535.0
Tabasco,57.0
Sombrerete,16.0
Vetagrande,1048.0
Jiménez del Teul,2210.0
Ojocaliente,699.0
Benito Juárez,167.0
Tepechitlán,633.0
Chalchihuites,836.0
Miguel Auza,1954.0
Momax ,169.0
Calera,512.0
Villanueva,206.0
Moyahua de Estrada,25.0
El Salvador,55.0
Total estatal,59797.0
Apozol,271.0
Luis Moya,68.0
General Pánfilo Natera,50.0
Monte Escobedo,627.0
Zacatecas,22.0
Melchor Ocampo,1437.0
Susticacán ,36.0
General Francisco R. Murguía,22.0
Atolinga,129.0
Fresnillo,443.0
Mazapil,27.0
Juan Aldama,22.0
Villa González Ortega,75.0
Jerez,110.0
Nochistlán de Mejía,59.0
Cañitas de Felipe Pescador,78.0
Santa María de la Paz,35.0
Trancoso,35.0
Trinidad García de la Cadena,884.0
Genaro Codina,747.0
El Plateado de Joaquín Amaro,15.0
Jalpa,12669.0
Loreto,39.0
Pánuco,22149.0
Villa de Cos,167.0
Noria de Ángeles,263.0
Morelos,1827.0
Villa García,390.0
Huanusco,60.0
Tepetongo,267.0
Sain Alto,403.0
Mezquital del Oro,59.0
Juchipila,172.0
Apulco,371.0
General Enrique Estrada,174.0
Guadalupe,2879.0
Pinos,74.0
Río Grande,46.0
Cuauhtémoc,407.0
Villa Hidalgo,246.0
Valparaíso,47.0
