Municipio,Total
Tlaltenango de Sánchez Román,199.0
Teúl de González Ortega,119.0
Concepción del Oro,7369.0
Tabasco,16.0
Sombrerete,22.0
Vetagrande,285.0
Jiménez del Teul,1161.0
Ojocaliente,397.0
Benito Juárez,54.0
Tepechitlán,420.0
Chalchihuites,5532.0
Miguel Auza,13584.0
Momax ,2451.0
Calera,445.0
Villanueva,241.0
Moyahua de Estrada,10.0
El Salvador,419.0
Total estatal,104014.0
Apozol,32.0
Luis Moya,27.0
General Pánfilo Natera,11.0
Monte Escobedo,989.0
Zacatecas,20.0
Melchor Ocampo,26404.0
Susticacán ,24.0
General Francisco R. Murguía,13.0
Atolinga,85.0
Fresnillo,796.0
Mazapil,44.0
Juan Aldama,64.0
Villa González Ortega,7.0
Jerez,945.0
Nochistlán de Mejía,10.0
Cañitas de Felipe Pescador,79.0
Santa María de la Paz,22.0
Trancoso,118.0
Trinidad García de la Cadena,620.0
Genaro Codina,3990.0
El Plateado de Joaquín Amaro,80.0
Jalpa,6419.0
Loreto,21.0
Pánuco,6574.0
Villa de Cos,52.0
Noria de Ángeles,755.0
Morelos,883.0
Villa García,110.0
Huanusco,179.0
Tepetongo,1732.0
Sain Alto,263.0
Mezquital del Oro,22.0
Juchipila,176.0
Apulco,215.0
General Enrique Estrada,62.0
Guadalupe,2211.0
Pinos,20.0
Río Grande,17.0
Cuauhtémoc,6032.0
Villa Hidalgo,67.0
Valparaíso,319.0
