Municipio,Total
Tlaltenango de Sánchez Román,22712.0
Teúl de González Ortega,4447.0
Concepción del Oro,16440.0
Tabasco,4314.0
Sombrerete,1178.0
Vetagrande,65753.0
Jiménez del Teul,150506.0
Ojocaliente,40859.0
Benito Juárez,24344.0
Tepechitlán,44853.0
Chalchihuites,23351.0
Miguel Auza,50514.0
Momax ,8196.0
Calera,26093.0
Villanueva,16776.0
Moyahua de Estrada,824.0
El Salvador,1302.0
Total estatal,3.741869e6
Apozol,14635.0
Luis Moya,7023.0
General Pánfilo Natera,3704.0
Monte Escobedo,35473.0
Zacatecas,2079.0
Melchor Ocampo,50180.0
Susticacán ,2742.0
General Francisco R. Murguía,2034.0
Atolinga,8487.0
Fresnillo,25146.0
Mazapil,2448.0
Juan Aldama,2456.0
Villa González Ortega,5111.0
Jerez,6222.0
Nochistlán de Mejía,5196.0
Cañitas de Felipe Pescador,5807.0
Santa María de la Paz,2696.0
Trancoso,2197.0
Trinidad García de la Cadena,49499.0
Genaro Codina,8113.0
El Plateado de Joaquín Amaro,1230.0
Jalpa,937674.0
Loreto,3791.0
Pánuco,1.51245e6
Villa de Cos,8127.0
Noria de Ángeles,11005.0
Morelos,116662.0
Villa García,24534.0
Huanusco,5099.0
Tepetongo,7266.0
Sain Alto,25144.0
Mezquital del Oro,4237.0
Juchipila,6656.0
Apulco,26047.0
General Enrique Estrada,11815.0
Guadalupe,180638.0
Pinos,4980.0
Río Grande,4122.0
Cuauhtémoc,11270.0
Villa Hidalgo,7695.0
Valparaíso,2757.0
