Municipio,Porcentaje de hombres
Tlaltenango de Sánchez Román,50.1497005988024
Teúl de González Ortega,52.484821227794
Concepción del Oro,49.5255474452555
Tabasco,50.1390820584145
Sombrerete,53.1409168081494
Vetagrande,48.878378172859
Jiménez del Teul,49.0525294672638
Ojocaliente,49.4089429501456
Benito Juárez,55.4304962208347
Tepechitlán,49.8985575100885
Chalchihuites,47.0129758896835
Miguel Auza,49.8436077127133
Momax ,50.0854075158614
Calera,50.7070861916989
Villanueva,50.1609442060086
Moyahua de Estrada,49.878640776699
El Salvador,47.6958525345622
Total estatal,49.5426750642526
Apozol,50.4065596173557
Luis Moya,49.3378897906877
General Pánfilo Natera,50.7829373650108
Monte Escobedo,49.9027429312435
Zacatecas,52.044252044252
Melchor Ocampo,48.421681944998
Susticacán ,51.5681983953319
General Francisco R. Murguía,52.0648967551622
Atolinga,50.1472840815365
Fresnillo,49.7454863596596
Mazapil,51.1029411764706
Juan Aldama,50.6514657980456
Villa González Ortega,50.8511054588143
Jerez,50.7232401157184
Nochistlán de Mejía,50.1347190146266
Cañitas de Felipe Pescador,50.6629929395557
Santa María de la Paz,51.9658753709199
Trancoso,52.4351388256714
Trinidad García de la Cadena,49.3888765429605
Genaro Codina,49.2542832491064
El Plateado de Joaquín Amaro,51.4634146341463
Jalpa,48.7632162137374
Loreto,49.1690846742284
Pánuco,50.0497206519224
Villa de Cos,50.5721668512366
Noria de Ángeles,52.3398455247615
Morelos,48.2136428314275
Villa García,49.6983777614739
Huanusco,52.1670915865856
Tepetongo,50.4404073768236
Sain Alto,49.3398027362393
Mezquital del Oro,50.3422232711824
Juchipila,49.5643028846154
Apulco,49.3031827081814
General Enrique Estrada,50.994498518832
Guadalupe,48.9470654015213
Pinos,50.5421686746988
Río Grande,51.3585638039787
Cuauhtémoc,49.6628216503993
Villa Hidalgo,50.5912930474334
Valparaíso,49.9455930359086
