Municipio,Total
Tlaltenango de Sánchez Román,Tlaltenango de Sánchez Román
Teúl de González Ortega,Teúl de González Ortega
Concepción del Oro,Concepción del Oro
Tabasco,Tabasco
Sombrerete,Sombrerete
Vetagrande,Vetagrande
Jiménez del Teul,Jiménez del Teul
Ojocaliente,Ojocaliente
Benito Juárez,Benito Juárez
Tepechitlán,Tepechitlán
Chalchihuites,Chalchihuites
Miguel Auza,Miguel Auza
Momax ,Momax 
Calera,Calera
Villanueva,Villanueva
Moyahua de Estrada,Moyahua de Estrada
El Salvador,El Salvador
Total estatal,Total estatal
Apozol,Apozol
Luis Moya,Luis Moya
General Pánfilo Natera,General Pánfilo Natera
Monte Escobedo,Monte Escobedo
Zacatecas,Zacatecas
Melchor Ocampo,Melchor Ocampo
Susticacán ,Susticacán 
General Francisco R. Murguía,General Francisco R. Murguía
Atolinga,Atolinga
Fresnillo,Fresnillo
Mazapil,Mazapil
Juan Aldama,Juan Aldama
Villa González Ortega,Villa González Ortega
Jerez,Jerez
Nochistlán de Mejía,Nochistlán de Mejía
Cañitas de Felipe Pescador,Cañitas de Felipe Pescador
Santa María de la Paz,Santa María de la Paz
Trancoso,Trancoso
Trinidad García de la Cadena,Trinidad García de la Cadena
Genaro Codina,Genaro Codina
El Plateado de Joaquín Amaro,El Plateado de Joaquín Amaro
Jalpa,Jalpa
Loreto,Loreto
Pánuco,Pánuco
Villa de Cos,Villa de Cos
Noria de Ángeles,Noria de Ángeles
Morelos,Morelos
Villa García,Villa García
Huanusco,Huanusco
Tepetongo,Tepetongo
Sain Alto,Sain Alto
Mezquital del Oro,Mezquital del Oro
Juchipila,Juchipila
Apulco,Apulco
General Enrique Estrada,General Enrique Estrada
Guadalupe,Guadalupe
Pinos,Pinos
Río Grande,Río Grande
Cuauhtémoc,Cuauhtémoc
Villa Hidalgo,Villa Hidalgo
Valparaíso,Valparaíso
