Municipio,Total
Total estatal,6163.32046850109
Tlalpan,2225.50469998499
Milpa Alta,511.939279424468
Iztacalco,17522.7098608519
Iztapalapa,16219.5901856287
Tláhuac,4569.71452356812
Xochimilco,3874.79447551065
Álvaro Obregón,7916.36084960673
Cuajimalpa de Morelos,3059.21798345891
Benito Juárez,16259.6588096098
Miguel Hidalgo,8927.81062496375
Venustiano Carranza,13102.7710632087
Azcapotzalco,12892.8318150257
Coyoacán,11394.9687482912
La Magdalena Contreras,3904.55456251678
Cuauhtémoc,16783.605894384
Gustavo A. Madero,13347.7667357062
