Municipio,Porcentaje de hombres
Total estatal,47.8279455336536
Tlalpan,47.8444925763793
Milpa Alta,48.7087795133772
Iztacalco,47.530115271995
Iztapalapa,48.3605432021819
Tláhuac,48.479148027213
Xochimilco,48.7251740249402
Álvaro Obregón,47.5549209167779
Cuajimalpa de Morelos,47.8436831031853
Benito Juárez,46.5552466526777
Miguel Hidalgo,47.1607112698145
Venustiano Carranza,47.3554441699872
Azcapotzalco,47.4196272602122
Coyoacán,47.0520647020817
La Magdalena Contreras,47.769180444387
Cuauhtémoc,47.8033794725619
Gustavo A. Madero,48.0567196005287
