Municipio,Porcentaje de mujeres
Total estatal,52.1720544663464
Tlalpan,52.1555074236207
Milpa Alta,51.2912204866228
Iztacalco,52.469884728005
Iztapalapa,51.6394567978181
Tláhuac,51.520851972787
Xochimilco,51.2748259750598
Álvaro Obregón,52.4450790832221
Cuajimalpa de Morelos,52.1563168968147
Benito Juárez,53.4447533473223
Miguel Hidalgo,52.8392887301855
Venustiano Carranza,52.6445558300128
Azcapotzalco,52.5803727397878
Coyoacán,52.9479352979183
La Magdalena Contreras,52.230819555613
Cuauhtémoc,52.1966205274381
Gustavo A. Madero,51.9432803994713
