Municipio,Total
Jiménez,74.0
Saltillo,4489.0
Total estatal,17794.0
Sierra Mojada,17.0
Morelos,55.0
Castaños,210.0
San Buenaventura,139.0
Progreso,26.0
Sacramento,23.0
General Cepeda,110.0
Nadadores,55.0
Piedras Negras,983.0
Monclova,1429.0
Matamoros,668.0
Torreón,4178.0
Zaragoza,95.0
Lamadrid,17.0
San Juan de Sabinas,374.0
Cuatro Ciénegas,89.0
Abasolo,8.0
Escobedo,10.0
Francisco I. Madero,319.0
Frontera,470.0
Parras,343.0
Juárez,7.0
Nava,134.0
Ocampo,44.0
Ramos Arizpe,409.0
Múzquiz,578.0
Sabinas,473.0
Arteaga,136.0
Villa Unión,60.0
San Pedro,733.0
Candela,11.0
Viesca,103.0
Allende,166.0
Acuña,697.0
Hidalgo,9.0
Guerrero,14.0
