Municipio,Total
Jiménez,28.0
Saltillo,28.0
Total estatal,29.0
Sierra Mojada,28.0
Morelos,29.0
Castaños,29.0
San Buenaventura,31.0
Progreso,30.0
Sacramento,30.0
General Cepeda,29.0
Nadadores,32.0
Piedras Negras,28.0
Monclova,31.0
Matamoros,27.0
Torreón,30.0
Zaragoza,29.0
Lamadrid,36.0
San Juan de Sabinas,32.0
Cuatro Ciénegas,29.0
Abasolo,39.5
Escobedo,29.0
Francisco I. Madero,27.0
Frontera,29.0
Parras,30.0
Juárez,30.0
Nava,27.0
Ocampo,28.0
Ramos Arizpe,27.0
Múzquiz,29.0
Sabinas,30.0
Arteaga,29.0
Villa Unión,28.0
San Pedro,28.0
Candela,33.0
Viesca,27.0
Allende,28.0
Acuña,27.0
Hidalgo,24.0
Guerrero,33.0
