Municipio,Total
Jiménez,117.0
Saltillo,15056.0
Total estatal,52912.0
Sierra Mojada,73.0
Morelos,131.0
Castaños,564.0
San Buenaventura,448.0
Progreso,56.0
Sacramento,51.0
General Cepeda,206.0
Nadadores,82.0
Piedras Negras,3101.0
Monclova,3765.0
Matamoros,1907.0
Torreón,11345.0
Zaragoza,260.0
Lamadrid,34.0
San Juan de Sabinas,662.0
Cuatro Ciénegas,226.0
Abasolo,20.0
Escobedo,51.0
Francisco I. Madero,1185.0
Frontera,1414.0
Parras,834.0
Juárez,39.0
Nava,517.0
Ocampo,126.0
Ramos Arizpe,1982.0
Múzquiz,1325.0
Sabinas,1097.0
Arteaga,285.0
Villa Unión,128.0
San Pedro,1819.0
Candela,26.0
Viesca,283.0
Allende,485.0
Acuña,3144.0
Hidalgo,24.0
Guerrero,25.0
