Municipio,Total
Jiménez,14.0
Saltillo,1696.0
Total estatal,6105.0
Sierra Mojada,9.0
Morelos,11.0
Castaños,31.0
San Buenaventura,30.0
Progreso,1.0
Sacramento,0.0
General Cepeda,8.0
Nadadores,3.0
Piedras Negras,354.0
Monclova,555.0
Matamoros,94.0
Torreón,1306.0
Zaragoza,9.0
Lamadrid,0.0
San Juan de Sabinas,55.0
Cuatro Ciénegas,18.0
Abasolo,3.0
Escobedo,1.0
Francisco I. Madero,70.0
Frontera,117.0
Parras,58.0
Juárez,2.0
Nava,66.0
Ocampo,15.0
Ramos Arizpe,193.0
Múzquiz,500.0
Sabinas,124.0
Arteaga,22.0
Villa Unión,20.0
San Pedro,161.0
Candela,2.0
Viesca,22.0
Allende,42.0
Acuña,483.0
Hidalgo,1.0
Guerrero,9.0
