Municipio,Total
Jiménez,9502.0
Saltillo,879958.0
Total estatal,3.146771e6
Sierra Mojada,6744.0
Morelos,7928.0
Castaños,29128.0
San Buenaventura,24759.0
Progreso,3239.0
Sacramento,2471.0
General Cepeda,11898.0
Nadadores,6539.0
Piedras Negras,176327.0
Monclova,237951.0
Matamoros,118337.0
Torreón,720848.0
Zaragoza,13135.0
Lamadrid,1764.0
San Juan de Sabinas,42260.0
Cuatro Ciénegas,12715.0
Abasolo,1022.0
Escobedo,3047.0
Francisco I. Madero,59035.0
Frontera,82409.0
Parras,44472.0
Juárez,1584.0
Nava,33129.0
Ocampo,9642.0
Ramos Arizpe,122243.0
Múzquiz,71627.0
Sabinas,64811.0
Arteaga,29578.0
Villa Unión,6188.0
San Pedro,101041.0
Candela,1643.0
Viesca,20305.0
Allende,23056.0
Acuña,163058.0
Hidalgo,1735.0
Guerrero,1643.0
