Municipio,Total
Jiménez,Jiménez
Saltillo,Saltillo
Total estatal,Total estatal
Sierra Mojada,Sierra Mojada
Morelos,Morelos
Castaños,Castaños
San Buenaventura,San Buenaventura
Progreso,Progreso
Sacramento,Sacramento
General Cepeda,General Cepeda
Nadadores,Nadadores
Piedras Negras,Piedras Negras
Monclova,Monclova
Matamoros,Matamoros
Torreón,Torreón
Zaragoza,Zaragoza
Lamadrid,Lamadrid
San Juan de Sabinas,San Juan de Sabinas
Cuatro Ciénegas,Cuatro Ciénegas
Abasolo,Abasolo
Escobedo,Escobedo
Francisco I. Madero,Francisco I. Madero
Frontera,Frontera
Parras,Parras
Juárez,Juárez
Nava,Nava
Ocampo,Ocampo
Ramos Arizpe,Ramos Arizpe
Múzquiz,Múzquiz
Sabinas,Sabinas
Arteaga,Arteaga
Villa Unión,Villa Unión
San Pedro,San Pedro
Candela,Candela
Viesca,Viesca
Allende,Allende
Acuña,Acuña
Hidalgo,Hidalgo
Guerrero,Guerrero
