Municipio,Porcentaje de mujeres
Jiménez,48.88444537992
Saltillo,50.2485345891509
Total estatal,50.3087768382256
Sierra Mojada,47.7016607354686
Morelos,50.3657921291625
Castaños,49.890140071409
San Buenaventura,50.4220687426794
Progreso,49.5523309663476
Sacramento,49.7369486038041
General Cepeda,48.8065221045554
Nadadores,50.4052607432329
Piedras Negras,49.6894973543473
Monclova,50.3855835865367
Matamoros,50.4026635794384
Torreón,51.2028888198344
Zaragoza,50.0799390940236
Lamadrid,47.3922902494331
San Juan de Sabinas,50.4921911973497
Cuatro Ciénegas,49.9410145497444
Abasolo,47.6516634050881
Escobedo,49.8194945848375
Francisco I. Madero,50.5090200728382
Frontera,49.9945394313728
Parras,49.3299154524195
Juárez,50.3787878787879
Nava,49.895861631803
Ocampo,48.2265090230243
Ramos Arizpe,48.6907225771619
Múzquiz,49.9406648330937
Sabinas,50.2599867306476
Arteaga,49.4387720603151
Villa Unión,49.4182288299935
San Pedro,50.5656119792955
Candela,48.6914181375533
Viesca,49.618320610687
Allende,50.3556557945871
Acuña,49.7461026137939
Hidalgo,48.35734870317
Guerrero,46.2568472306756
