Municipio,Total
General Simón Bolívar,51.0
Nuevo Ideal,193.0
Constó de Comonfort,31.0
Total estatal,10128.0
Santiago Papasquiaro,249.0
Tapehuanes,84.0
Tópica,34.0
San Juan de Guadalupe,50.0
Suchil,43.0
Lerdo,860.0
San Pedro del Gallo,10.0
Mapimí,157.0
Tamazula,77.0
Durango,3595.0
Pueblo Nuevo,218.0
Inde,49.0
San Dimas,97.0
Gómez Palacio,1953.0
Nombre de Dios,155.0
Canelas,18.0
Guanacevi,60.0
Ocampo,60.0
Cantatlan,246.0
Cuencame,213.0
Nazas,106.0
Otaez,26.0
Peñon Blanco,71.0
Poanas,203.0
Rodeo,100.0
San Luis de Cordero,20.0
Santa Clara,53.0
Tlahualilo,152.0
Vicente Guerrero,155.0
San Bernardo,31.0
Hidalgo,35.0
Mezquital,134.0
Pánuco de Coronado,109.0
Guadalupe Victoria,231.0
San Juan del Río,115.0
El Oro,82.0
