Municipio,Total
General Simón Bolívar,29.0
Nuevo Ideal,26.0
Constó de Comonfort,27.0
Total estatal,27.0
Santiago Papasquiaro,27.0
Tapehuanes,30.0
Tópica,25.0
San Juan de Guadalupe,29.0
Suchil,28.0
Lerdo,28.0
San Pedro del Gallo,33.0
Mapimí,25.0
Tamazula,23.0
Durango,28.0
Pueblo Nuevo,22.0
Inde,33.0
San Dimas,25.0
Gómez Palacio,28.0
Nombre de Dios,29.0
Canelas,25.0
Guanacevi,29.0
Ocampo,36.0
Cantatlan,29.0
Cuencame,28.0
Nazas,29.0
Otaez,24.0
Peñon Blanco,29.0
Poanas,29.0
Rodeo,29.0
San Luis de Cordero,30.0
Santa Clara,30.0
Tlahualilo,28.0
Vicente Guerrero,28.0
San Bernardo,40.0
Hidalgo,35.0
Mezquital,17.0
Pánuco de Coronado,30.0
Guadalupe Victoria,29.0
San Juan del Río,28.0
El Oro,33.0
