Municipio,Total
General Simón Bolívar,207.0
Nuevo Ideal,612.0
Constó de Comonfort,71.0
Total estatal,32981.0
Santiago Papasquiaro,942.0
Tapehuanes,185.0
Tópica,217.0
San Juan de Guadalupe,120.0
Suchil,127.0
Lerdo,2616.0
San Pedro del Gallo,22.0
Mapimí,571.0
Tamazula,637.0
Durango,10974.0
Pueblo Nuevo,1280.0
Inde,63.0
San Dimas,336.0
Gómez Palacio,6236.0
Nombre de Dios,364.0
Canelas,73.0
Guanacevi,168.0
Ocampo,144.0
Cantatlan,499.0
Cuencame,623.0
Nazas,213.0
Otaez,57.0
Peñon Blanco,214.0
Poanas,412.0
Rodeo,309.0
San Luis de Cordero,48.0
Santa Clara,128.0
Tlahualilo,356.0
Vicente Guerrero,537.0
San Bernardo,49.0
Hidalgo,49.0
Mezquital,2164.0
Pánuco de Coronado,210.0
Guadalupe Victoria,661.0
San Juan del Río,219.0
El Oro,236.0
