Municipio,Total
General Simón Bolívar,5.0
Nuevo Ideal,44.0
Constó de Comonfort,6.0
Total estatal,30894.0
Santiago Papasquiaro,157.0
Tapehuanes,44.0
Tópica,6.0
San Juan de Guadalupe,3.0
Suchil,573.0
Lerdo,202.0
San Pedro del Gallo,0.0
Mapimí,48.0
Tamazula,41.0
Durango,2801.0
Pueblo Nuevo,3314.0
Inde,64.0
San Dimas,47.0
Gómez Palacio,561.0
Nombre de Dios,17.0
Canelas,7.0
Guanacevi,149.0
Ocampo,127.0
Cantatlan,75.0
Cuencame,42.0
Nazas,18.0
Otaez,6.0
Peñon Blanco,9.0
Poanas,26.0
Rodeo,13.0
San Luis de Cordero,0.0
Santa Clara,1.0
Tlahualilo,25.0
Vicente Guerrero,163.0
San Bernardo,40.0
Hidalgo,7.0
Mezquital,22102.0
Pánuco de Coronado,22.0
Guadalupe Victoria,46.0
San Juan del Río,8.0
El Oro,75.0
