Municipio,Total
General Simón Bolívar,10038.0
Nuevo Ideal,27981.0
Constó de Comonfort,4084.0
Total estatal,1.83265e6
Santiago Papasquiaro,49207.0
Tapehuanes,11378.0
Tópica,9320.0
San Juan de Guadalupe,5251.0
Suchil,6917.0
Lerdo,163313.0
San Pedro del Gallo,1633.0
Mapimí,26932.0
Tamazula,26300.0
Durango,688697.0
Pueblo Nuevo,51269.0
Inde,4748.0
San Dimas,17333.0
Gómez Palacio,372750.0
Nombre de Dios,19060.0
Canelas,4321.0
Guanacevi,9869.0
Ocampo,8003.0
Cantatlan,31454.0
Cuencame,34955.0
Nazas,12894.0
Otaez,4924.0
Peñon Blanco,11118.0
Poanas,25623.0
Rodeo,12818.0
San Luis de Cordero,2103.0
Santa Clara,6727.0
Tlahualilo,21143.0
Vicente Guerrero,23476.0
San Bernardo,2837.0
Hidalgo,3843.0
Mezquital,48583.0
Pánuco de Coronado,12656.0
Guadalupe Victoria,36695.0
San Juan del Río,12013.0
El Oro,10384.0
