Municipio,Total
General Simón Bolívar,General Simón Bolívar
Nuevo Ideal,Nuevo Ideal
Constó de Comonfort,Constó de Comonfort
Total estatal,Total estatal
Santiago Papasquiaro,Santiago Papasquiaro
Tapehuanes,Tapehuanes
Tópica,Tópica
San Juan de Guadalupe,San Juan de Guadalupe
Suchil,Suchil
Lerdo,Lerdo
San Pedro del Gallo,San Pedro del Gallo
Mapimí,Mapimí
Tamazula,Tamazula
Durango,Durango
Pueblo Nuevo,Pueblo Nuevo
Inde,Inde
San Dimas,San Dimas
Gómez Palacio,Gómez Palacio
Nombre de Dios,Nombre de Dios
Canelas,Canelas
Guanacevi,Guanacevi
Ocampo,Ocampo
Cantatlan,Cantatlan
Cuencame,Cuencame
Nazas,Nazas
Otaez,Otaez
Peñon Blanco,Peñon Blanco
Poanas,Poanas
Rodeo,Rodeo
San Luis de Cordero,San Luis de Cordero
Santa Clara,Santa Clara
Tlahualilo,Tlahualilo
Vicente Guerrero,Vicente Guerrero
San Bernardo,San Bernardo
Hidalgo,Hidalgo
Mezquital,Mezquital
Pánuco de Coronado,Pánuco de Coronado
Guadalupe Victoria,Guadalupe Victoria
San Juan del Río,San Juan del Río
El Oro,El Oro
