Municipio,Porcentaje de mujeres
General Simón Bolívar,50.3785614664276
Nuevo Ideal,50.3770415639184
Constó de Comonfort,49.4613124387855
Total estatal,50.6252694186015
Santiago Papasquiaro,49.3019285873961
Tapehuanes,49.4726665494815
Tópica,48.9377682403433
San Juan de Guadalupe,50.0856979622929
Suchil,50.946942316033
Lerdo,50.4901630611158
San Pedro del Gallo,47.887323943662
Mapimí,49.985147779593
Tamazula,48.6463878326996
Durango,51.2975953140496
Pueblo Nuevo,50.4925003413369
Inde,50.0
San Dimas,48.8201696186465
Gómez Palacio,50.4930918846412
Nombre de Dios,50.1154249737671
Canelas,48.8544318444804
Guanacevi,47.7859965548688
Ocampo,48.8691740597276
Cantatlan,50.2416226870986
Cuencame,49.8927192104134
Nazas,49.3950674732434
Otaez,47.3598700243704
Peñon Blanco,49.5232955567548
Poanas,50.7512781485384
Rodeo,49.2588547355282
San Luis de Cordero,49.3105087969567
Santa Clara,50.1412219414301
Tlahualilo,50.1631745731448
Vicente Guerrero,51.0989947180099
San Bernardo,46.1050405357772
Hidalgo,49.6226906062972
Mezquital,50.8922874256427
Pánuco de Coronado,50.1975347661188
Guadalupe Victoria,50.7834854884862
San Juan del Río,50.711728960293
El Oro,50.0866718027735
