Municipio,Total
Salvatierra,945.0
Uriangato,381.0
San Francisco del Rincón,712.0
Tarandacuao,90.0
Irapuato,3941.0
Jaral del Progreso,277.0
Guanajuato,1012.0
Tarimoro,350.0
Silao,1183.0
Total estatal,37347.0
Apaseo el Grande,600.0
Apaseo el Alto,483.0
Santa Catarina,42.0
San Luis de la Paz,716.0
San Diego de la Union,227.0
Comonfort,505.0
Penjamo,1163.0
Abasolo,641.0
Tierra Blanca,102.0
Villagran,351.0
Cueramaro,217.0
Ocampo,140.0
Acámbaro,1047.0
Xichu,78.0
Huaminaro,182.0
Atarjea,33.0
Cortázar,575.0
Coroneo,79.0
Morleon,359.0
San Miguel de Allende,1129.0
Leon,8325.0
Puso rima del Rincón,385.0
Victoria,146.0
Pueblo Nuevo,108.0
Dolores Hidalgo Cuna de la Independencia Nacional,904.0
San Jose Iturbide,422.0
Celaya,3221.0
Doctor Mora,139.0
Manuel doblado,228.0
Yuriria,599.0
Santiago Maravatio,83.0
Salamanca,2162.0
Santa Cruz de Juventino Rosas,532.0
Valle de Santiago,1085.0
Jerecuaro,383.0
Romita,382.0
San Felipe,678.0
