Municipio,Total
Salvatierra,158.763547741406
Uriangato,528.597310847596
San Francisco del Rincón,307.659201702278
Tarandacuao,93.5875853492885
Irapuato,696.728058931496
Jaral del Progreso,221.123664376826
Guanajuato,191.790244373072
Tarimoro,107.427655981067
Silao,377.988090783617
Total estatal,201.489844537732
Apaseo el Grande,280.399905235931
Apaseo el Alto,169.558474307014
Santa Catarina,29.4002488141773
San Luis de la Paz,63.2772810590947
San Diego de la Union,40.52371611803
Comonfort,168.248879837309
Penjamo,99.2660595361383
Abasolo,149.584097732525
Tierra Blanca,48.872260106988
Villagran,512.054599219361
Cueramaro,118.535743802801
Ocampo,25.7076509433996
Acámbaro,123.83523934096
Xichu,12.2277162688594
Huaminaro,165.682876373811
Atarjea,16.8622977910286
Cortázar,292.137717082483
Coroneo,89.5206302732615
Morleon,295.844500959331
San Miguel de Allende,112.377708699042
Leon,1409.02215706521
Puso rima del Rincón,288.430364454885
Victoria,20.2918672659379
Pueblo Nuevo,207.138357138931
Dolores Hidalgo Cuna de la Independencia Nacional,98.4692355048811
San Jose Iturbide,163.384985128317
Celaya,942.340619838094
Doctor Mora,118.670407078293
Manuel doblado,50.3024248361114
Yuriria,103.163902076721
Santiago Maravatio,80.2962537577703
Salamanca,361.856777945395
Santa Cruz de Juventino Rosas,191.896790244505
Valle de Santiago,183.074421666421
Jerecuaro,56.0738738122997
Romita,149.228526451644
San Felipe,39.8398061996881
