Municipio,Total
Salvatierra,32.0
Uriangato,32.0
San Francisco del Rincón,26.0
Tarandacuao,31.0
Irapuato,28.0
Jaral del Progreso,29.0
Guanajuato,29.0
Tarimoro,31.0
Silao,26.0
Total estatal,28.0
Apaseo el Grande,27.0
Apaseo el Alto,27.0
Santa Catarina,26.0
San Luis de la Paz,25.0
San Diego de la Union,25.0
Comonfort,26.0
Penjamo,28.0
Abasolo,27.0
Tierra Blanca,24.0
Villagran,27.0
Cueramaro,28.0
Ocampo,26.0
Acámbaro,32.0
Xichu,25.0
Huaminaro,28.0
Atarjea,29.0
Cortázar,29.0
Coroneo,28.0
Morleon,35.0
San Miguel de Allende,27.0
Leon,28.0
Puso rima del Rincón,25.0
Victoria,25.0
Pueblo Nuevo,29.0
Dolores Hidalgo Cuna de la Independencia Nacional,25.0
San Jose Iturbide,25.0
Celaya,29.0
Doctor Mora,24.0
Manuel doblado,28.0
Yuriria,31.0
Santiago Maravatio,34.0
Salamanca,31.0
Santa Cruz de Juventino Rosas,27.0
Valle de Santiago,29.0
Jerecuaro,28.0
Romita,26.0
San Felipe,24.0
