Municipio,Total
Salvatierra,1414.0
Uriangato,892.0
San Francisco del Rincón,2618.0
Tarandacuao,215.0
Irapuato,11084.0
Jaral del Progreso,635.0
Guanajuato,3276.0
Tarimoro,574.0
Silao,3975.0
Total estatal,110755.0
Apaseo el Grande,1712.0
Apaseo el Alto,1164.0
Santa Catarina,128.0
San Luis de la Paz,2760.0
San Diego de la Union,870.0
Comonfort,1763.0
Penjamo,2847.0
Abasolo,1747.0
Tierra Blanca,410.0
Villagran,1165.0
Cueramaro,578.0
Ocampo,573.0
Acámbaro,1815.0
Xichu,201.0
Huaminaro,415.0
Atarjea,90.0
Cortázar,1601.0
Coroneo,188.0
Morleon,707.0
San Miguel de Allende,3887.0
Leon,29044.0
Puso rima del Rincón,1637.0
Victoria,455.0
Pueblo Nuevo,247.0
Dolores Hidalgo Cuna de la Independencia Nacional,3555.0
San Jose Iturbide,1657.0
Celaya,8207.0
Doctor Mora,608.0
Manuel doblado,709.0
Yuriria,1256.0
Santiago Maravatio,101.0
Salamanca,4348.0
Santa Cruz de Juventino Rosas,1675.0
Valle de Santiago,2860.0
Jerecuaro,1226.0
Romita,1406.0
San Felipe,2456.0
