Municipio,Total
Salvatierra,276.0
Uriangato,130.0
San Francisco del Rincón,234.0
Tarandacuao,10.0
Irapuato,1004.0
Jaral del Progreso,42.0
Guanajuato,306.0
Tarimoro,39.0
Silao,262.0
Total estatal,14835.0
Apaseo el Grande,150.0
Apaseo el Alto,124.0
Santa Catarina,5.0
San Luis de la Paz,2163.0
San Diego de la Union,46.0
Comonfort,188.0
Penjamo,207.0
Abasolo,113.0
Tierra Blanca,2065.0
Villagran,136.0
Cueramaro,28.0
Ocampo,19.0
Acámbaro,214.0
Xichu,13.0
Huaminaro,23.0
Atarjea,7.0
Cortázar,163.0
Coroneo,29.0
Morleon,78.0
San Miguel de Allende,621.0
Leon,3191.0
Puso rima del Rincón,136.0
Victoria,39.0
Pueblo Nuevo,16.0
Dolores Hidalgo Cuna de la Independencia Nacional,273.0
San Jose Iturbide,122.0
Celaya,1262.0
Doctor Mora,24.0
Manuel doblado,46.0
Yuriria,117.0
Santiago Maravatio,4.0
Salamanca,326.0
Santa Cruz de Juventino Rosas,109.0
Valle de Santiago,249.0
Jerecuaro,46.0
Romita,78.0
San Felipe,102.0
