Municipio,Total
Salvatierra,94126.0
Uriangato,61494.0
San Francisco del Rincón,130871.0
Tarandacuao,11304.0
Irapuato,592953.0
Jaral del Progreso,38782.0
Guanajuato,194500.0
Tarimoro,35905.0
Silao,203556.0
Total estatal,6.166934e6
Apaseo el Grande,117883.0
Apaseo el Alto,63392.0
Santa Catarina,5723.0
San Luis de la Paz,128536.0
San Diego de la Union,41054.0
Comonfort,82216.0
Penjamo,154960.0
Abasolo,92040.0
Tierra Blanca,20007.0
Villagran,65791.0
Cueramaro,30857.0
Ocampo,26383.0
Acámbaro,108697.0
Xichu,11143.0
Huaminaro,21128.0
Atarjea,5296.0
Cortázar,97928.0
Coroneo,11083.0
Morleon,47261.0
San Miguel de Allende,174615.0
Leon,1.721215e6
Puso rima del Rincón,83842.0
Victoria,21253.0
Pueblo Nuevo,12403.0
Dolores Hidalgo Cuna de la Independencia Nacional,163038.0
San Jose Iturbide,89558.0
Celaya,521169.0
Doctor Mora,27390.0
Manuel doblado,41240.0
Yuriria,68741.0
Santiago Maravatio,6714.0
Salamanca,273417.0
Santa Cruz de Juventino Rosas,82340.0
Valle de Santiago,150054.0
Jerecuaro,49517.0
Romita,65766.0
San Felipe,119793.0
