Municipio,Porcentaje de hombres
Salvatierra,48.2831523702271
Uriangato,48.1868149738186
San Francisco del Rincón,48.8893643358727
Tarandacuao,48.6022646850672
Irapuato,49.0376134364781
Jaral del Progreso,48.5972874013718
Guanajuato,48.3485861182519
Tarimoro,48.4612171006824
Silao,49.1623926585313
Total estatal,48.5890395454208
Apaseo el Grande,48.5676475827728
Apaseo el Alto,48.192200908632
Santa Catarina,47.0557399965053
San Luis de la Paz,47.186780357254
San Diego de la Union,46.8772835777269
Comonfort,47.1112678797314
Penjamo,48.0233608673206
Abasolo,48.732073011734
Tierra Blanca,48.2831009146799
Villagran,48.6191120366008
Cueramaro,48.1803156496095
Ocampo,51.1768942121821
Acámbaro,48.0307644185212
Xichu,47.2942654581352
Huaminaro,47.2879591063991
Atarjea,48.7726586102719
Cortázar,48.5407646434115
Coroneo,47.5503022647298
Morleon,48.0353780072364
San Miguel de Allende,47.5772413595625
Leon,49.1904265300965
Puso rima del Rincón,49.2998735717182
Victoria,46.7463416929375
Pueblo Nuevo,47.7384503749093
Dolores Hidalgo Cuna de la Independencia Nacional,47.05099424674
San Jose Iturbide,48.4814310279372
Celaya,48.5533483380631
Doctor Mora,47.9481562614093
Manuel doblado,47.9558680892338
Yuriria,47.7997119622932
Santiago Maravatio,47.9445933869526
Salamanca,48.3795813720434
Santa Cruz de Juventino Rosas,47.5613310663104
Valle de Santiago,48.1853199514841
Jerecuaro,47.6886725770947
Romita,49.042058206368
San Felipe,48.4894776823354
