Municipio,Total
Salvatierra,Salvatierra
Uriangato,Uriangato
San Francisco del Rincón,San Francisco del Rincón
Tarandacuao,Tarandacuao
Irapuato,Irapuato
Jaral del Progreso,Jaral del Progreso
Guanajuato,Guanajuato
Tarimoro,Tarimoro
Silao,Silao
Total estatal,Total estatal
Apaseo el Grande,Apaseo el Grande
Apaseo el Alto,Apaseo el Alto
Santa Catarina,Santa Catarina
San Luis de la Paz,San Luis de la Paz
San Diego de la Union,San Diego de la Union
Comonfort,Comonfort
Penjamo,Penjamo
Abasolo,Abasolo
Tierra Blanca,Tierra Blanca
Villagran,Villagran
Cueramaro,Cueramaro
Ocampo,Ocampo
Acámbaro,Acámbaro
Xichu,Xichu
Huaminaro,Huaminaro
Atarjea,Atarjea
Cortázar,Cortázar
Coroneo,Coroneo
Morleon,Morleon
San Miguel de Allende,San Miguel de Allende
Leon,Leon
Puso rima del Rincón,Puso rima del Rincón
Victoria,Victoria
Pueblo Nuevo,Pueblo Nuevo
Dolores Hidalgo Cuna de la Independencia Nacional,Dolores Hidalgo Cuna de la Independencia Nacional
San Jose Iturbide,San Jose Iturbide
Celaya,Celaya
Doctor Mora,Doctor Mora
Manuel doblado,Manuel doblado
Yuriria,Yuriria
Santiago Maravatio,Santiago Maravatio
Salamanca,Salamanca
Santa Cruz de Juventino Rosas,Santa Cruz de Juventino Rosas
Valle de Santiago,Valle de Santiago
Jerecuaro,Jerecuaro
Romita,Romita
San Felipe,San Felipe
