Municipio,Total
Tlacoapa,52.0
Cocula,132.0
Buena vista de Cuellar,91.0
Coyuca de Catalan,194.0
Azoyu,84.0
Iliatenco,63.0
Ometepec,253.0
Pungarabato,181.0
Arcelia,189.0
Coahuayutla de José Maria Izazaga,45.0
Teloloapan,332.0
Petatlan,239.0
Benito Juárez,105.0
Igualapa,31.0
Atoyac de Alvarez,342.0
Copanatoyac,100.0
Tapa de Comonfort,400.0
Leonardo Bravo,124.0
Ahuacoutzingo,143.0
Chilapa de Alvarez,674.0
Ixcateopan de Cuauhtémoc,54.0
Tlalixtaquilla de Maldonado,31.0
Total estatal,19448.0
Pilcaya,97.0
Tlapehuala,161.0
Juan R. Escudero,162.0
Zitlala,137.0
Cualac,37.0
Iguala de la Independencia,991.0
Zirandano,93.0
Taxco de Alarcón,789.0
Atennago del Río,52.0
Atlamajalcingo del Monte,37.0
Cuajinicuilapa,180.0
Alcozauca de Guerrero,62.0
Cuautepec,70.0
Metlatonoc,75.0
Apaxtla,70.0
Cochoapa el Grande,43.0
Quechultenango,182.0
San Luis Acatlan,171.0
Huitzuco de Los Figueroa,322.0
Tecpan de Galeana,368.0
Acatepec,134.0
Florencio Villarreal,93.0
Coyuca de Benitez,423.0
San Marcos,266.0
Cuetzala del progreso,78.0
Mochitlan,62.0
San Miguel Totolapan,72.0
Cópala,89.0
Chilpancingo de los Bravos,1191.0
Malinaltepec,148.0
Zihuatanejo de Azuela,651.0
Tlalchapa,101.0
Juchitan,60.0
Tepecoacuilco de Trujano,274.0
Tixtla de Guerrero,263.0
General Canuto A. Neri,45.0
Pedro Ascencio Alquisiras,33.0
Xalpatlahuac,55.0
General Heliodoro Castillo,105.0
Mártir de Cuilapan,88.0
Olinala,140.0
Márquelia,76.0
Ajuchitlan del Progreso,168.0
Cutzamala de Pinzon,151.0
Atlixtac,151.0
Acapulco de Juárez,4870.0
José Joaquín de Herrera,102.0
Xochihuehuetlan,59.0
Zapotitlan tablas,59.0
Eduardo Neri,282.0
La Unión de Isidoro Montes de Oca,133.0
Ayutla de los Libres,253.0
Huamuxtitlan,105.0
Alpoyeca,41.0
Tlacoachistlahuaca,56.0
Xochistlahuaca,131.0
Tetipac,91.0
Tecoanapa,251.0
Coapalillo,125.0
