Municipio,Total
Tlacoapa,36.046704663835
Cocula,34.9564829169737
Buena vista de Cuellar,42.7068406248193
Coyuca de Catalan,11.48298206182
Azoyu,38.1341436343685
Iliatenco,49.5539096379598
Ometepec,113.177411663613
Pungarabato,304.625752709914
Arcelia,44.1161254774779
Coahuayutla de José Maria Izazaga,4.69088918764031
Teloloapan,53.3152592541872
Petatlan,22.6118410585434
Benito Juárez,67.1558950776793
Igualapa,60.1527804313628
Atoyac de Alvarez,41.8657873181464
Copanatoyac,70.6009512832967
Tapa de Comonfort,157.832976221881
Leonardo Bravo,36.5713442517314
Ahuacoutzingo,28.9274932222168
Chilapa de Alvarez,165.023825781487
Ixcateopan de Cuauhtémoc,28.9390688233128
Tlalixtaquilla de Maldonado,64.7250186963223
Total estatal,55.6747543920515
Pilcaya,78.5856437448149
Tlapehuala,78.0096408841145
Juan R. Escudero,63.8274237247426
Zitlala,72.1335681647132
Cualac,32.9163498178679
Iguala de la Independencia,270.275244273915
Zirandano,8.40657555611755
Taxco de Alarcón,162.268167576869
Atennago del Río,16.3927268063028
Atlamajalcingo del Monte,39.6608230356542
Cuajinicuilapa,42.1567980113691
Alcozauca de Guerrero,45.1686708809999
Cuautepec,54.219837546175
Metlatonoc,32.2912048032741
Apaxtla,17.7257631585557
Cochoapa el Grande,33.2850697836578
Quechultenango,42.7475713759134
San Luis Acatlan,41.9776227686451
Huitzuco de Los Figueroa,27.5632876906195
Tecpan de Galeana,22.9293487400284
Acatepec,63.7277851666714
Florencio Villarreal,78.239623347592
Coyuca de Benitez,40.345433612002
San Marcos,43.3413104760192
Cuetzala del progreso,22.1758417958272
Mochitlan,24.1951160410261
San Miguel Totolapan,10.1812541391809
Cópala,48.7679851985966
Chilpancingo de los Bravos,129.940773657283
Malinaltepec,62.6427794749363
Zihuatanejo de Azuela,85.8592337107485
Tlalchapa,24.7459045660454
Juchitan,29.7860621875877
Tepecoacuilco de Trujano,36.1189312115879
Tixtla de Guerrero,111.084323861139
General Canuto A. Neri,24.1409148767285
Pedro Ascencio Alquisiras,24.0489772119482
Xalpatlahuac,52.7995024637314
General Heliodoro Castillo,21.5748060402264
Mártir de Cuilapan,30.2486795183783
Olinala,40.2397886772203
Márquelia,67.7651972379834
Ajuchitlan del Progreso,18.8796995194695
Cutzamala de Pinzon,15.3762012644987
Atlixtac,49.6820634226192
Acapulco de Juárez,451.32660710105
José Joaquín de Herrera,139.274193510074
Xochihuehuetlan,30.0518341018142
Zapotitlan tablas,52.5671194057003
Eduardo Neri,42.5254405476554
La Unión de Isidoro Montes de Oca,14.969196419309
Ayutla de los Libres,65.7216551492276
Huamuxtitlan,63.6109351418935
Alpoyeca,83.2277817027417
Tlacoachistlahuaca,28.3775421787536
Xochistlahuaca,65.95227669063
Tetipac,62.2216119047723
Tecoanapa,66.0368680844269
Coapalillo,21.2945575773232
