Municipio,Total
Tlacoapa,22.0
Cocula,27.0
Buena vista de Cuellar,31.0
Coyuca de Catalan,29.0
Azoyu,29.0
Iliatenco,21.0
Ometepec,24.0
Pungarabato,28.0
Arcelia,27.0
Coahuayutla de José Maria Izazaga,27.0
Teloloapan,27.0
Petatlan,27.0
Benito Juárez,35.0
Igualapa,24.0
Atoyac de Alvarez,29.0
Copanatoyac,19.0
Tapa de Comonfort,22.0
Leonardo Bravo,24.0
Ahuacoutzingo,22.0
Chilapa de Alvarez,23.0
Ixcateopan de Cuauhtémoc,30.0
Tlalixtaquilla de Maldonado,25.0
Total estatal,27.0
Pilcaya,27.0
Tlapehuala,28.0
Juan R. Escudero,28.0
Zitlala,23.0
Cualac,23.0
Iguala de la Independencia,29.0
Zirandano,28.0
Taxco de Alarcón,30.0
Atennago del Río,27.0
Atlamajalcingo del Monte,20.0
Cuajinicuilapa,26.0
Alcozauca de Guerrero,19.0
Cuautepec,25.0
Metlatonoc,17.0
Apaxtla,27.0
Cochoapa el Grande,16.0
Quechultenango,23.0
San Luis Acatlan,21.0
Huitzuco de Los Figueroa,30.0
Tecpan de Galeana,30.0
Acatepec,18.0
Florencio Villarreal,25.0
Coyuca de Benitez,29.0
San Marcos,27.0
Cuetzala del progreso,30.0
Mochitlan,28.0
San Miguel Totolapan,23.0
Cópala,28.0
Chilpancingo de los Bravos,27.0
Malinaltepec,20.0
Zihuatanejo de Azuela,29.0
Tlalchapa,30.0
Juchitan,28.0
Tepecoacuilco de Trujano,30.0
Tixtla de Guerrero,28.0
General Canuto A. Neri,27.0
Pedro Ascencio Alquisiras,24.0
Xalpatlahuac,21.0
General Heliodoro Castillo,20.0
Mártir de Cuilapan,23.0
Olinala,23.0
Márquelia,27.0
Ajuchitlan del Progreso,25.0
Cutzamala de Pinzon,30.0
Atlixtac,19.0
Acapulco de Juárez,31.0
José Joaquín de Herrera,19.0
Xochihuehuetlan,28.0
Zapotitlan tablas,21.0
Eduardo Neri,26.0
La Unión de Isidoro Montes de Oca,29.0
Ayutla de los Libres,22.0
Huamuxtitlan,26.0
Alpoyeca,24.0
Tlacoachistlahuaca,20.0
Xochistlahuaca,24.0
Tetipac,26.0
Tecoanapa,25.0
Coapalillo,23.0
