Municipio,Total
Tlacoapa,207.0
Cocula,400.0
Buena vista de Cuellar,215.0
Coyuca de Catalan,927.0
Azoyu,321.0
Iliatenco,274.0
Ometepec,1687.0
Pungarabato,902.0
Arcelia,828.0
Coahuayutla de José Maria Izazaga,227.0
Teloloapan,1114.0
Petatlan,878.0
Benito Juárez,235.0
Igualapa,304.0
Atoyac de Alvarez,1188.0
Copanatoyac,732.0
Tapa de Comonfort,2960.0
Leonardo Bravo,661.0
Ahuacoutzingo,838.0
Chilapa de Alvarez,3337.0
Ixcateopan de Cuauhtémoc,121.0
Tlalixtaquilla de Maldonado,179.0
Total estatal,77125.0
Pilcaya,191.0
Tlapehuala,566.0
Juan R. Escudero,479.0
Zitlala,550.0
Cualac,211.0
Iguala de la Independencia,2781.0
Zirandano,445.0
Taxco de Alarcón,1835.0
Atennago del Río,186.0
Atlamajalcingo del Monte,216.0
Cuajinicuilapa,654.0
Alcozauca de Guerrero,798.0
Cuautepec,419.0
Metlatonoc,934.0
Apaxtla,281.0
Cochoapa el Grande,1314.0
Quechultenango,840.0
San Luis Acatlan,1207.0
Huitzuco de Los Figueroa,728.0
Tecpan de Galeana,1323.0
Acatepec,1217.0
Florencio Villarreal,541.0
Coyuca de Benitez,1312.0
San Marcos,1148.0
Cuetzala del progreso,155.0
Mochitlan,227.0
San Miguel Totolapan,773.0
Cópala,319.0
Chilpancingo de los Bravos,5993.0
Malinaltepec,846.0
Zihuatanejo de Azuela,2121.0
Tlalchapa,254.0
Juchitan,186.0
Tepecoacuilco de Trujano,686.0
Tixtla de Guerrero,809.0
General Canuto A. Neri,165.0
Pedro Ascencio Alquisiras,156.0
Xalpatlahuac,417.0
General Heliodoro Castillo,1109.0
Mártir de Cuilapan,586.0
Olinala,747.0
Márquelia,302.0
Ajuchitlan del Progreso,888.0
Cutzamala de Pinzon,432.0
Atlixtac,874.0
Acapulco de Juárez,12008.0
José Joaquín de Herrera,488.0
Xochihuehuetlan,158.0
Zapotitlan tablas,305.0
Eduardo Neri,1190.0
La Unión de Isidoro Montes de Oca,500.0
Ayutla de los Libres,1796.0
Huamuxtitlan,378.0
Alpoyeca,196.0
Tlacoachistlahuaca,897.0
Xochistlahuaca,651.0
Tetipac,269.0
Tecoanapa,1046.0
Coapalillo,447.0
