Municipio,Total
Tlacoapa,7453.0
Cocula,84.0
Buena vista de Cuellar,93.0
Coyuca de Catalan,53.0
Azoyu,981.0
Iliatenco,8401.0
Ometepec,17558.0
Pungarabato,163.0
Arcelia,365.0
Coahuayutla de José Maria Izazaga,12.0
Teloloapan,879.0
Petatlan,191.0
Benito Juárez,89.0
Igualapa,2211.0
Atoyac de Alvarez,785.0
Copanatoyac,14980.0
Tapa de Comonfort,41530.0
Leonardo Bravo,83.0
Ahuacoutzingo,5053.0
Chilapa de Alvarez,31931.0
Ixcateopan de Cuauhtémoc,20.0
Tlalixtaquilla de Maldonado,1676.0
Total estatal,456774.0
Pilcaya,13.0
Tlapehuala,29.0
Juan R. Escudero,131.0
Zitlala,11591.0
Cualac,1917.0
Iguala de la Independencia,2632.0
Zirandano,9.0
Taxco de Alarcón,2424.0
Atennago del Río,754.0
Atlamajalcingo del Monte,4936.0
Cuajinicuilapa,1313.0
Alcozauca de Guerrero,14817.0
Cuautepec,189.0
Metlatonoc,15778.0
Apaxtla,83.0
Cochoapa el Grande,15449.0
Quechultenango,2104.0
San Luis Acatlan,20412.0
Huitzuco de Los Figueroa,2634.0
Tecpan de Galeana,246.0
Acatepec,27061.0
Florencio Villarreal,160.0
Coyuca de Benitez,304.0
San Marcos,369.0
Cuetzala del progreso,380.0
Mochitlan,51.0
San Miguel Totolapan,66.0
Cópala,363.0
Chilpancingo de los Bravos,5155.0
Malinaltepec,23566.0
Zihuatanejo de Azuela,2103.0
Tlalchapa,12.0
Juchitan,237.0
Tepecoacuilco de Trujano,5587.0
Tixtla de Guerrero,7154.0
General Canuto A. Neri,13.0
Pedro Ascencio Alquisiras,4.0
Xalpatlahuac,9737.0
General Heliodoro Castillo,124.0
Mártir de Cuilapan,7677.0
Olinala,9126.0
Márquelia,421.0
Ajuchitlan del Progreso,52.0
Cutzamala de Pinzon,34.0
Atlixtac,15425.0
Acapulco de Juárez,11304.0
José Joaquín de Herrera,12537.0
Xochihuehuetlan,81.0
Zapotitlan tablas,7932.0
Eduardo Neri,6599.0
La Unión de Isidoro Montes de Oca,76.0
Ayutla de los Libres,19485.0
Huamuxtitlan,1935.0
Alpoyeca,1056.0
Tlacoachistlahuaca,14795.0
Xochistlahuaca,22946.0
Tetipac,12.0
Tecoanapa,743.0
Coapalillo,10040.0
