Municipio,Total
Tlacoapa,10092.0
Cocula,15579.0
Buena vista de Cuellar,12982.0
Coyuca de Catalan,38554.0
Azoyu,15099.0
Iliatenco,11679.0
Ometepec,68207.0
Pungarabato,38482.0
Arcelia,33267.0
Coahuayutla de José Maria Izazaga,12408.0
Teloloapan,53817.0
Petatlan,44583.0
Benito Juárez,15442.0
Igualapa,11739.0
Atoyac de Alvarez,60680.0
Copanatoyac,21648.0
Tapa de Comonfort,96125.0
Leonardo Bravo,26357.0
Ahuacoutzingo,25205.0
Chilapa de Alvarez,123722.0
Ixcateopan de Cuauhtémoc,6138.0
Tlalixtaquilla de Maldonado,7602.0
Total estatal,3.540685e6
Pilcaya,12753.0
Tlapehuala,22209.0
Juan R. Escudero,26093.0
Zitlala,21977.0
Cualac,7874.0
Iguala de la Independencia,154173.0
Zirandano,18031.0
Taxco de Alarcón,105586.0
Atennago del Río,9147.0
Atlamajalcingo del Monte,5811.0
Cuajinicuilapa,26627.0
Alcozauca de Guerrero,21225.0
Cuautepec,17024.0
Metlatonoc,18859.0
Apaxtla,11112.0
Cochoapa el Grande,21241.0
Quechultenango,36143.0
San Luis Acatlan,46270.0
Huitzuco de Los Figueroa,36593.0
Tecpan de Galeana,65237.0
Acatepec,40197.0
Florencio Villarreal,22250.0
Coyuca de Benitez,73056.0
San Marcos,50124.0
Cuetzala del progreso,8272.0
Mochitlan,12402.0
San Miguel Totolapan,24139.0
Cópala,14463.0
Chilpancingo de los Bravos,283354.0
Malinaltepec,29625.0
Zihuatanejo de Azuela,126001.0
Tlalchapa,11681.0
Juchitan,7559.0
Tepecoacuilco de Trujano,30806.0
Tixtla de Guerrero,43171.0
General Canuto A. Neri,6278.0
Pedro Ascencio Alquisiras,7076.0
Xalpatlahuac,11966.0
General Heliodoro Castillo,37254.0
Mártir de Cuilapan,18613.0
Olinala,28446.0
Márquelia,14280.0
Ajuchitlan del Progreso,37655.0
Cutzamala de Pinzon,20537.0
Atlixtac,28491.0
Acapulco de Juárez,779566.0
José Joaquín de Herrera,18381.0
Xochihuehuetlan,7862.0
Zapotitlan tablas,12004.0
Eduardo Neri,53126.0
La Unión de Isidoro Montes de Oca,26349.0
Ayutla de los Libres,69123.0
Huamuxtitlan,17488.0
Alpoyeca,7813.0
Tlacoachistlahuaca,22781.0
Xochistlahuaca,29891.0
Tetipac,13552.0
Tecoanapa,46063.0
Coapalillo,15598.0
