Municipio,Porcentaje de mujeres
Tlacoapa,53.1014665081252
Cocula,51.0173952115027
Buena vista de Cuellar,51.8564165767987
Coyuca de Catalan,50.6536286766613
Azoyu,51.0762302139214
Iliatenco,52.34181008648
Ometepec,51.5577580013782
Pungarabato,51.1745751260329
Arcelia,51.7269366038416
Coahuayutla de José Maria Izazaga,49.5567375886525
Teloloapan,52.2734451938978
Petatlan,50.8960814660296
Benito Juárez,50.9908042999611
Igualapa,52.3042848624244
Atoyac de Alvarez,51.4189189189189
Copanatoyac,53.6677753141168
Tapa de Comonfort,53.1641092327698
Leonardo Bravo,51.4474333194218
Ahuacoutzingo,53.3346558222575
Chilapa de Alvarez,53.3300463943357
Ixcateopan de Cuauhtémoc,51.1567285760834
Tlalixtaquilla de Maldonado,51.3285977374375
Total estatal,51.9694070497658
Pilcaya,51.0468125147024
Tlapehuala,51.033364852087
Juan R. Escudero,51.0941631855287
Zitlala,54.2658233607863
Cualac,52.0447040894082
Iguala de la Independencia,52.0434836190513
Zirandano,49.6478287393933
Taxco de Alarcón,52.2995472884663
Atennago del Río,51.7656062096862
Atlamajalcingo del Monte,53.2782653588023
Cuajinicuilapa,50.4863484433094
Alcozauca de Guerrero,53.3804475853946
Cuautepec,51.4273966165414
Metlatonoc,53.4704915424996
Apaxtla,51.3768898488121
Cochoapa el Grande,53.2554964455534
Quechultenango,52.0017707439891
San Luis Acatlan,51.0633239680138
Huitzuco de Los Figueroa,52.1520509387041
Tecpan de Galeana,50.3333997578061
Acatepec,51.3894071696893
Florencio Villarreal,50.9797752808989
Coyuca de Benitez,51.3866075339466
San Marcos,50.9735855079403
Cuetzala del progreso,50.531914893617
Mochitlan,51.4271891630382
San Miguel Totolapan,50.8388914205228
Cópala,51.7112632233976
Chilpancingo de los Bravos,52.5339328190179
Malinaltepec,53.1240506329114
Zihuatanejo de Azuela,51.2408631677526
Tlalchapa,50.1754986730588
Juchitan,49.4906733694933
Tepecoacuilco de Trujano,51.82756605856
Tixtla de Guerrero,52.2665678348892
General Canuto A. Neri,51.3380057343103
Pedro Ascencio Alquisiras,52.6286037309214
Xalpatlahuac,54.6966404813639
General Heliodoro Castillo,51.0012347667365
Mártir de Cuilapan,53.3283189168861
Olinala,52.5100189833368
Márquelia,50.7913165266106
Ajuchitlan del Progreso,51.1937325720356
Cutzamala de Pinzon,50.3919754589278
Atlixtac,52.5955564915236
Acapulco de Juárez,52.3075660046744
José Joaquín de Herrera,52.1734399651814
Xochihuehuetlan,52.4294072755024
Zapotitlan tablas,51.4411862712429
Eduardo Neri,51.577382072808
La Unión de Isidoro Montes de Oca,49.2921932521158
Ayutla de los Libres,51.5674956237432
Huamuxtitlan,52.5846294602013
Alpoyeca,52.617432484321
Tlacoachistlahuaca,53.4217110750186
Xochistlahuaca,52.293332441203
Tetipac,51.3134592680047
Tecoanapa,50.9628118012287
Coapalillo,52.0707783049109
