Municipio,Edad mediana
Metztitlán,33.0
Calnali,32.0
San Agustín Metzquititlán,34.0
Tepeapulco,32.0
Tlahuelilpan,29.0
Zacualtipán de Ángeles,27.0
Mixquiahuala de Juárez,30.0
Atitalaquia,31.0
Tepeji del Río de Ocampo,29.0
San Salvador,30.0
Tolcayuca,29.0
Alfajayucan,32.0
Zimapán,29.0
Ajacuba,30.0
Eloxochitlán,39.0
Tenango de Doria,27.0
Total estatal,30.0
Emiliano Zapata,30.0
Santiago Tulantepec de Lugo Guerrero,29.0
Lolotla,29.0
Tulancingo de Bravo,29.0
Pacula,31.0
Xochicoatlán,34.0
Tezontepec de Aldama,28.0
Villa de Tezontepec,28.0
Atotonilco de Tula,29.0
Atlapexco,31.0
Jacala de Ledezma,33.0
Tepetitlán,32.0
Huehuetla,29.0
Huazalingo,27.0
Huichapan,30.0
Metepec,27.0
Tlanchinol,26.0
Cardonal,30.0
Tlanalapa,33.0
Apan,30.0
Jaltocán,31.0
Nopala de Villagrán,33.0
Atotonilco el Grande,29.0
Santiago de Anaya,29.0
Agua Blanca de Iturbide,27.0
Mineral de la Reforma,30.0
Juárez Hidalgo,36.0
Acatlán,27.0
Chilcuautla,29.0
Molango de Escamilla,31.0
Francisco I. Madero,31.0
Nicolás Flores,29.0
San Agustín Tlaxiaca,29.0
Progreso de Obregón,31.0
El Arenal,28.0
Omitlán de Juárez,29.0
Huejutla de Reyes,28.0
San Bartolo Tutotepec,28.0
Cuautepec de Hinojosa,28.0
San Felipe Orizatlán,30.0
Tianguistengo,28.5
Tula de Allende,32.0
Tecozautla,29.0
Tlahuiltepa,33.0
Tlaxcoapan,30.0
Pisaflores,23.0
Mineral del Chico,29.0
La Misión,31.0
Almoloya,29.0
Tepehuacán de Guerrero,24.0
Epazoyucan,31.0
Chapantongo,32.0
Xochiatipan,27.0
Zempoala,31.0
Acaxochitlán,23.0
Yahualica,27.0
Ixmiquilpan,29.0
Huasca de Ocampo,28.0
Tetepango,30.0
Actopan,29.0
Singuilucan,29.0
Tasquillo,32.0
Tizayuca,28.0
Pachuca de Soto,32.0
Zapotlán de Juárez,30.0
Chapulhuacán,27.0
Mineral del Monte,31.0
Huautla,35.0
