Municipio,Nacimientos
Metztitlán,294.0
Calnali,180.0
San Agustín Metzquititlán,113.0
Tepeapulco,638.0
Tlahuelilpan,280.0
Zacualtipán de Ángeles,763.0
Mixquiahuala de Juárez,633.0
Atitalaquia,373.0
Tepeji del Río de Ocampo,1349.0
San Salvador,422.0
Tolcayuca,229.0
Alfajayucan,260.0
Zimapán,678.0
Ajacuba,226.0
Eloxochitlán,21.0
Tenango de Doria,323.0
Total estatal,44563.0
Emiliano Zapata,215.0
Santiago Tulantepec de Lugo Guerrero,592.0
Lolotla,143.0
Tulancingo de Bravo,2886.0
Pacula,55.0
Xochicoatlán,91.0
Tezontepec de Aldama,777.0
Villa de Tezontepec,193.0
Atotonilco de Tula,569.0
Atlapexco,322.0
Jacala de Ledezma,174.0
Tepetitlán,136.0
Huehuetla,364.0
Huazalingo,215.0
Huichapan,654.0
Metepec,243.0
Tlanchinol,698.0
Cardonal,304.0
Tlanalapa,112.0
Apan,780.0
Jaltocán,167.0
Nopala de Villagrán,216.0
Atotonilco el Grande,447.0
Santiago de Anaya,267.0
Agua Blanca de Iturbide,184.0
Mineral de la Reforma,2140.0
Juárez Hidalgo,27.0
Acatlán,461.0
Chilcuautla,293.0
Molango de Escamilla,161.0
Francisco I. Madero,384.0
Nicolás Flores,93.0
San Agustín Tlaxiaca,451.0
Progreso de Obregón,377.0
El Arenal,241.0
Omitlán de Juárez,128.0
Huejutla de Reyes,2516.0
San Bartolo Tutotepec,257.0
Cuautepec de Hinojosa,1062.0
San Felipe Orizatlán,637.0
Tianguistengo,294.0
Tula de Allende,1484.0
Tecozautla,534.0
Tlahuiltepa,120.0
Tlaxcoapan,431.0
Pisaflores,359.0
Mineral del Chico,139.0
La Misión,135.0
Almoloya,130.0
Tepehuacán de Guerrero,623.0
Epazoyucan,203.0
Chapantongo,196.0
Xochiatipan,303.0
Zempoala,616.0
Acaxochitlán,1259.0
Yahualica,439.0
Ixmiquilpan,1529.0
Huasca de Ocampo,325.0
Tetepango,170.0
Actopan,925.0
Singuilucan,306.0
Tasquillo,226.0
Tizayuca,1958.0
Pachuca de Soto,3933.0
Zapotlán de Juárez,292.0
Chapulhuacán,409.0
Mineral del Monte,170.0
Huautla,237.0
