Municipio,Población de 5 años y más hablante de lengua indígena
Metztitlán,2698.0
Calnali,5309.0
San Agustín Metzquititlán,28.0
Tepeapulco,258.0
Tlahuelilpan,110.0
Zacualtipán de Ángeles,1263.0
Mixquiahuala de Juárez,859.0
Atitalaquia,116.0
Tepeji del Río de Ocampo,3270.0
San Salvador,7028.0
Tolcayuca,89.0
Alfajayucan,3128.0
Zimapán,3323.0
Ajacuba,72.0
Eloxochitlán,16.0
Tenango de Doria,3969.0
Total estatal,359972.0
Emiliano Zapata,36.0
Santiago Tulantepec de Lugo Guerrero,355.0
Lolotla,2000.0
Tulancingo de Bravo,4830.0
Pacula,104.0
Xochicoatlán,68.0
Tezontepec de Aldama,305.0
Villa de Tezontepec,58.0
Atotonilco de Tula,192.0
Atlapexco,13766.0
Jacala de Ledezma,68.0
Tepetitlán,220.0
Huehuetla,12224.0
Huazalingo,8482.0
Huichapan,352.0
Metepec,81.0
Tlanchinol,16398.0
Cardonal,10263.0
Tlanalapa,20.0
Apan,119.0
Jaltocán,8778.0
Nopala de Villagrán,37.0
Atotonilco el Grande,152.0
Santiago de Anaya,7436.0
Agua Blanca de Iturbide,37.0
Mineral de la Reforma,2346.0
Juárez Hidalgo,39.0
Acatlán,51.0
Chilcuautla,6720.0
Molango de Escamilla,120.0
Francisco I. Madero,754.0
Nicolás Flores,3252.0
San Agustín Tlaxiaca,212.0
Progreso de Obregón,491.0
El Arenal,199.0
Omitlán de Juárez,41.0
Huejutla de Reyes,67044.0
San Bartolo Tutotepec,5913.0
Cuautepec de Hinojosa,192.0
San Felipe Orizatlán,22136.0
Tianguistengo,4164.0
Tula de Allende,574.0
Tecozautla,2313.0
Tlahuiltepa,49.0
Tlaxcoapan,108.0
Pisaflores,114.0
Mineral del Chico,26.0
La Misión,34.0
Almoloya,27.0
Tepehuacán de Guerrero,10936.0
Epazoyucan,92.0
Chapantongo,36.0
Xochiatipan,16314.0
Zempoala,251.0
Acaxochitlán,13645.0
Yahualica,17616.0
Ixmiquilpan,31005.0
Huasca de Ocampo,73.0
Tetepango,30.0
Actopan,1996.0
Singuilucan,64.0
Tasquillo,5398.0
Tizayuca,1691.0
Pachuca de Soto,8037.0
Zapotlán de Juárez,108.0
Chapulhuacán,1554.0
Mineral del Monte,57.0
Huautla,16233.0
