Municipio,Población total
Metztitlán,20962.0
Calnali,16150.0
San Agustín Metzquititlán,9449.0
Tepeapulco,56245.0
Tlahuelilpan,19067.0
Zacualtipán de Ángeles,38155.0
Mixquiahuala de Juárez,47222.0
Atitalaquia,31525.0
Tepeji del Río de Ocampo,90546.0
San Salvador,36796.0
Tolcayuca,21362.0
Alfajayucan,19162.0
Zimapán,39927.0
Ajacuba,18872.0
Eloxochitlán,2593.0
Tenango de Doria,17503.0
Total estatal,3.082841e6
Emiliano Zapata,15175.0
Santiago Tulantepec de Lugo Guerrero,39561.0
Lolotla,9474.0
Tulancingo de Bravo,168369.0
Pacula,4748.0
Xochicoatlán,7015.0
Tezontepec de Aldama,55134.0
Villa de Tezontepec,13032.0
Atotonilco de Tula,62470.0
Atlapexco,19812.0
Jacala de Ledezma,12290.0
Tepetitlán,10830.0
Huehuetla,22846.0
Huazalingo,12766.0
Huichapan,47425.0
Metepec,13078.0
Tlanchinol,37722.0
Cardonal,19431.0
Tlanalapa,11113.0
Apan,46681.0
Jaltocán,10523.0
Nopala de Villagrán,16948.0
Atotonilco el Grande,30135.0
Santiago de Anaya,18329.0
Agua Blanca de Iturbide,10313.0
Mineral de la Reforma,202749.0
Juárez Hidalgo,2895.0
Acatlán,22268.0
Chilcuautla,18909.0
Molango de Escamilla,11578.0
Francisco I. Madero,36248.0
Nicolás Flores,6265.0
San Agustín Tlaxiaca,38891.0
Progreso de Obregón,23641.0
El Arenal,19836.0
Omitlán de Juárez,9295.0
Huejutla de Reyes,126781.0
San Bartolo Tutotepec,17699.0
Cuautepec de Hinojosa,60421.0
San Felipe Orizatlán,38492.0
Tianguistengo,14340.0
Tula de Allende,115107.0
Tecozautla,38010.0
Tlahuiltepa,9086.0
Tlaxcoapan,28626.0
Pisaflores,18723.0
Mineral del Chico,8878.0
La Misión,9819.0
Almoloya,12546.0
Tepehuacán de Guerrero,31235.0
Epazoyucan,16285.0
Chapantongo,12967.0
Xochiatipan,18260.0
Zempoala,57906.0
Acaxochitlán,46065.0
Yahualica,24674.0
Ixmiquilpan,98654.0
Huasca de Ocampo,17607.0
Tetepango,11768.0
Actopan,61002.0
Singuilucan,15142.0
Tasquillo,17441.0
Tizayuca,168302.0
Pachuca de Soto,314331.0
Zapotlán de Juárez,21443.0
Chapulhuacán,22903.0
Mineral del Monte,14324.0
Huautla,20673.0
