Municipio,Porcentaje de hombres
Metztitlán,48.0583913748688
Calnali,47.9504643962848
San Agustín Metzquititlán,48.4919039051751
Tepeapulco,47.8975908969686
Tlahuelilpan,48.7963497141658
Zacualtipán de Ángeles,47.535054383436
Mixquiahuala de Juárez,47.9119901740714
Atitalaquia,49.107057890563
Tepeji del Río de Ocampo,48.6625582576812
San Salvador,48.5623437330145
Tolcayuca,48.2351839715382
Alfajayucan,48.0012524788644
Zimapán,47.3338843389185
Ajacuba,48.2619754133107
Eloxochitlán,47.7824913227921
Tenango de Doria,47.9632063074901
Total estatal,48.0523971233028
Emiliano Zapata,48.3558484349259
Santiago Tulantepec de Lugo Guerrero,47.1322767371907
Lolotla,48.3111674055309
Tulancingo de Bravo,47.3762984872512
Pacula,46.9671440606571
Xochicoatlán,49.2373485388453
Tezontepec de Aldama,49.1330213661262
Villa de Tezontepec,48.5420503376304
Atotonilco de Tula,48.6857691692012
Atlapexco,48.0062588330305
Jacala de Ledezma,47.6810414971522
Tepetitlán,48.522622345337
Huehuetla,48.2185065219294
Huazalingo,48.5273382422059
Huichapan,48.0337374802319
Metepec,47.2931640923689
Tlanchinol,48.9820264036902
Cardonal,47.9028356749524
Tlanalapa,48.2857914154594
Apan,47.7453353612819
Jaltocán,48.8263803097976
Nopala de Villagrán,48.6016049091338
Atotonilco el Grande,47.3237099717936
Santiago de Anaya,48.8079000491025
Agua Blanca de Iturbide,47.6389023562494
Mineral de la Reforma,47.4769296026121
Juárez Hidalgo,47.3229706390328
Acatlán,48.0734686545716
Chilcuautla,48.6011951980538
Molango de Escamilla,49.1017446882018
Francisco I. Madero,47.7157360406091
Nicolás Flores,48.4596967278531
San Agustín Tlaxiaca,48.7259263068576
Progreso de Obregón,47.2272746499725
El Arenal,48.2708207299859
Omitlán de Juárez,47.5739644970414
Huejutla de Reyes,48.3676576143113
San Bartolo Tutotepec,49.3643708684106
Cuautepec de Hinojosa,47.7747802916205
San Felipe Orizatlán,48.6542658214694
Tianguistengo,48.9400278940028
Tula de Allende,48.2924583213879
Tecozautla,47.7163904235727
Tlahuiltepa,48.547215496368
Tlaxcoapan,48.5782156081884
Pisaflores,48.6513913368584
Mineral del Chico,48.4455958549223
La Misión,48.4468886852022
Almoloya,48.3819544077794
Tepehuacán de Guerrero,49.8415239314871
Epazoyucan,48.3819465766042
Chapantongo,48.4074959512609
Xochiatipan,48.4282584884995
Zempoala,48.1918972127241
Acaxochitlán,47.1442526864214
Yahualica,48.8773607846316
Ixmiquilpan,47.0736108013867
Huasca de Ocampo,47.2482535355256
Tetepango,48.7763426240653
Actopan,47.6656503065473
Singuilucan,48.7320036983225
Tasquillo,46.7060374978499
Tizayuca,48.7498663117491
Pachuca de Soto,47.5800986857803
Zapotlán de Juárez,48.2301916709416
Chapulhuacán,49.1725974763131
Mineral del Monte,47.5914549008657
Huautla,47.6998984182267
