Municipio,Porcentaje de mujeres
Metztitlán,51.9416086251312
Calnali,52.0495356037152
San Agustín Metzquititlán,51.5080960948249
Tepeapulco,52.1024091030314
Tlahuelilpan,51.2036502858342
Zacualtipán de Ángeles,52.464945616564
Mixquiahuala de Juárez,52.0880098259286
Atitalaquia,50.892942109437
Tepeji del Río de Ocampo,51.3374417423188
San Salvador,51.4376562669855
Tolcayuca,51.7648160284618
Alfajayucan,51.9987475211356
Zimapán,52.6661156610815
Ajacuba,51.7380245866893
Eloxochitlán,52.2175086772079
Tenango de Doria,52.0367936925099
Total estatal,51.9476028766972
Emiliano Zapata,51.6441515650741
Santiago Tulantepec de Lugo Guerrero,52.8677232628093
Lolotla,51.6888325944691
Tulancingo de Bravo,52.6237015127488
Pacula,53.0328559393429
Xochicoatlán,50.7626514611547
Tezontepec de Aldama,50.8669786338738
Villa de Tezontepec,51.4579496623696
Atotonilco de Tula,51.3142308307988
Atlapexco,51.9937411669695
Jacala de Ledezma,52.3189585028478
Tepetitlán,51.477377654663
Huehuetla,51.7814934780706
Huazalingo,51.4726617577941
Huichapan,51.9662625197681
Metepec,52.7068359076311
Tlanchinol,51.0179735963098
Cardonal,52.0971643250476
Tlanalapa,51.7142085845406
Apan,52.2546646387181
Jaltocán,51.1736196902024
Nopala de Villagrán,51.3983950908662
Atotonilco el Grande,52.6762900282064
Santiago de Anaya,51.1920999508975
Agua Blanca de Iturbide,52.3610976437506
Mineral de la Reforma,52.5230703973879
Juárez Hidalgo,52.6770293609672
Acatlán,51.9265313454284
Chilcuautla,51.3988048019462
Molango de Escamilla,50.8982553117982
Francisco I. Madero,52.2842639593909
Nicolás Flores,51.5403032721469
San Agustín Tlaxiaca,51.2740736931424
Progreso de Obregón,52.7727253500275
El Arenal,51.7291792700141
Omitlán de Juárez,52.4260355029586
Huejutla de Reyes,51.6323423856887
San Bartolo Tutotepec,50.6356291315894
Cuautepec de Hinojosa,52.2252197083795
San Felipe Orizatlán,51.3457341785306
Tianguistengo,51.0599721059972
Tula de Allende,51.7075416786121
Tecozautla,52.2836095764273
Tlahuiltepa,51.452784503632
Tlaxcoapan,51.4217843918116
Pisaflores,51.3486086631416
Mineral del Chico,51.5544041450777
La Misión,51.5531113147978
Almoloya,51.6180455922206
Tepehuacán de Guerrero,50.1584760685129
Epazoyucan,51.6180534233958
Chapantongo,51.5925040487391
Xochiatipan,51.5717415115005
Zempoala,51.8081027872759
Acaxochitlán,52.8557473135786
Yahualica,51.1226392153684
Ixmiquilpan,52.9263891986133
Huasca de Ocampo,52.7517464644744
Tetepango,51.2236573759347
Actopan,52.3343496934527
Singuilucan,51.2679963016775
Tasquillo,53.2939625021501
Tizayuca,51.2501336882509
Pachuca de Soto,52.4199013142197
Zapotlán de Juárez,51.7698083290584
Chapulhuacán,50.8274025236868
Mineral del Monte,52.4085450991343
Huautla,52.3001015817733
