Municipio,Total
Totatiche,47.0
Cocula,258.0
Cuautla ,21.0
Zapotlán el Grande,681.0
Mezquitic ,107.0
Ahualulco de Mercado,145.0
San Sebastián del Oeste,43.0
Atotonilco el Alto,394.0
Teocaltiche,280.0
Tequila,269.0
Tolimán,60.0
El Limón,57.0
Magdalena,141.0
Pihuamo,86.0
Ixtlahuacán de los Membrillos,272.0
Jesús María,132.0
San Martín Hidalgo,245.0
Valle de Juárez,44.0
Autlán de Navarro,424.0
Zacoalco de Torres,229.0
Puerto Vallarta,1489.0
Jilotlán de los Dolores,47.0
Villa Corona,149.0
San Julián,90.0
El Grullo,181.0
Ameca,467.0
Yahualica de González Gallo,192.0
Cabo Corrientes,79.0
Cuquío,116.0
San Ignacio Cerro Gordo,101.0
Etzatlán,133.0
San Miguel el Alto,235.0
Tonaya,75.0
Talpa de Allende,95.0
Mazamitla,85.0
Gómez Farías,101.0
Tototlán,158.0
Santa María del Oro ,12.0
Acatlán de Juárez,161.0
Total estatal,49830.0
Cihuatlán,257.0
Colotlán,111.0
Huejúcar,60.0
San Gabriel,150.0
Juanacatlán,109.0
Amatitán,91.0
Chiquilistlán,45.0
Lagos de Moreno,1007.0
Sayula,243.0
El Salto,922.0
Bolaños,31.0
Ejutla ,25.0
Tomatlán,187.0
San Diego de Alejandría,45.0
Tala,489.0
Quitupan,81.0
Ixtlahuacán del Río,139.0
Atoyac,72.0
Concepción de Buenos Aires,58.0
Tuxpan,238.0
Chimaltitán ,21.0
Jocotepec,349.0
Unión de San Antonio,133.0
Zapotlanejo,425.0
San Marcos ,31.0
Tamazula de Gordiano,338.0
Tonalá,2537.0
Tizapán el Alto,167.0
Juchitlán,58.0
Hostotipaquillo,56.0
Cañadas de Obregón ,40.0
La Huerta,161.0
Guadalajara,11981.0
Mixtlán ,35.0
Teuchitlán,90.0
Techaluta de Montenegro ,25.0
Tuxcueca,52.0
Amacueca,52.0
Atemajac de Brizuela,41.0
Cuautitlán de García Barragán,124.0
Ayotlán,271.0
Ayutla,94.0
San Cristóbal de la Barranca ,16.0
San Juanito de Escobedo,71.0
Tecalitlán,122.0
Ojuelos de Jalisco,174.0
San Martín de Bolaños ,26.0
Zapotlán del Rey,132.0
Atenguillo ,52.0
Villa Guerrero,44.0
El Arenal,129.0
Chapala,497.0
San Juan de los Lagos,397.0
Unión de Tula,135.0
Mascota,123.0
San Pedro Tlaquepaque,3681.0
Jamay,150.0
Zapotiltic,238.0
Guachinango ,35.0
Tepatitlán de Morelos,845.0
La Barca,493.0
Atengo,47.0
Acatic,142.0
Zapopan,7086.0
Huejuquilla el Alto,73.0
Tonila,62.0
Tuxcacuesco ,35.0
Degollado,173.0
Tlajomulco de Zúñiga,2427.0
Tapalpa,110.0
La Manzanilla de la Paz ,31.0
Villa Purificación,108.0
Teocuitatlán de Corona,115.0
Tenamaxtlán,61.0
Encarnación de Díaz,369.0
Jalostotitlán,187.0
Casimiro Castillo,153.0
Villa Hidalgo,101.0
Poncitlán,339.0
Mexticacán,55.0
Ocotlán,664.0
Tecolotlán,149.0
Zapotitlán de Vadillo,64.0
Santa María de los Ángeles ,34.0
Valle de Guadalupe,49.0
Arandas,466.0
