Municipio,Total
Totatiche,35.0
Cocula,31.0
Cuautla ,33.0
Zapotlán el Grande,30.0
Mezquitic ,18.0
Ahualulco de Mercado,30.0
San Sebastián del Oeste,33.0
Atotonilco el Alto,28.0
Teocaltiche,29.0
Tequila,26.0
Tolimán,27.0
El Limón,37.0
Magdalena,27.0
Pihuamo,31.0
Ixtlahuacán de los Membrillos,26.0
Jesús María,28.0
San Martín Hidalgo,32.0
Valle de Juárez,32.0
Autlán de Navarro,30.0
Zacoalco de Torres,29.0
Puerto Vallarta,29.0
Jilotlán de los Dolores,30.0
Villa Corona,29.0
San Julián,30.0
El Grullo,30.0
Ameca,31.0
Yahualica de González Gallo,33.0
Cabo Corrientes,29.0
Cuquío,30.0
San Ignacio Cerro Gordo,27.0
Etzatlán,29.0
San Miguel el Alto,28.0
Tonaya,34.0
Talpa de Allende,30.0
Mazamitla,28.0
Gómez Farías,28.0
Tototlán,28.0
Santa María del Oro ,33.0
Acatlán de Juárez,26.0
Total estatal,29.0
Cihuatlán,28.0
Colotlán,28.0
Huejúcar,35.0
San Gabriel,29.0
Juanacatlán,25.0
Amatitán,26.0
Chiquilistlán,25.0
Lagos de Moreno,27.0
Sayula,29.0
El Salto,26.0
Bolaños,20.0
Ejutla ,37.0
Tomatlán,29.0
San Diego de Alejandría,27.0
Tala,27.0
Quitupan,35.0
Ixtlahuacán del Río,29.0
Atoyac,31.0
Concepción de Buenos Aires,30.0
Tuxpan,29.0
Chimaltitán ,27.0
Jocotepec,26.0
Unión de San Antonio,27.0
Zapotlanejo,27.0
San Marcos ,30.0
Tamazula de Gordiano,32.0
Tonalá,27.0
Tizapán el Alto,28.0
Juchitlán,30.0
Hostotipaquillo,28.0
Cañadas de Obregón ,33.0
La Huerta,30.0
Guadalajara,33.0
Mixtlán ,33.0
Teuchitlán,31.0
Techaluta de Montenegro ,29.0
Tuxcueca,28.0
Amacueca,30.0
Atemajac de Brizuela,24.0
Cuautitlán de García Barragán,27.0
Ayotlán,27.0
Ayutla,30.0
San Cristóbal de la Barranca ,30.0
San Juanito de Escobedo,28.0
Tecalitlán,30.0
Ojuelos de Jalisco,24.0
San Martín de Bolaños ,28.0
Zapotlán del Rey,28.0
Atenguillo ,33.0
Villa Guerrero,28.0
El Arenal,27.0
Chapala,32.0
San Juan de los Lagos,26.0
Unión de Tula,32.0
Mascota,32.0
San Pedro Tlaquepaque,28.0
Jamay,27.0
Zapotiltic,29.0
Guachinango ,33.0
Tepatitlán de Morelos,28.0
La Barca,29.0
Atengo,30.0
Acatic,27.0
Zapopan,30.0
Huejuquilla el Alto,27.0
Tonila,32.0
Tuxcacuesco ,28.0
Degollado,29.0
Tlajomulco de Zúñiga,26.0
Tapalpa,24.0
La Manzanilla de la Paz ,31.0
Villa Purificación,30.0
Teocuitatlán de Corona,34.0
Tenamaxtlán,32.0
Encarnación de Díaz,28.0
Jalostotitlán,27.0
Casimiro Castillo,31.0
Villa Hidalgo,27.0
Poncitlán,24.0
Mexticacán,34.0
Ocotlán,28.0
Tecolotlán,32.0
Zapotitlán de Vadillo,27.0
Santa María de los Ángeles ,35.0
Valle de Guadalupe,29.0
Arandas,28.0
