Municipio,Total
Totatiche,74.0
Cocula,502.0
Cuautla ,42.0
Zapotlán el Grande,1823.0
Mezquitic ,818.0
Ahualulco de Mercado,379.0
San Sebastián del Oeste,95.0
Atotonilco el Alto,1316.0
Teocaltiche,752.0
Tequila,869.0
Tolimán,194.0
El Limón,95.0
Magdalena,478.0
Pihuamo,188.0
Ixtlahuacán de los Membrillos,976.0
Jesús María,352.0
San Martín Hidalgo,493.0
Valle de Juárez,119.0
Autlán de Navarro,1049.0
Zacoalco de Torres,575.0
Puerto Vallarta,4695.0
Jilotlán de los Dolores,116.0
Villa Corona,324.0
San Julián,354.0
El Grullo,452.0
Ameca,1024.0
Yahualica de González Gallo,440.0
Cabo Corrientes,198.0
Cuquío,337.0
San Ignacio Cerro Gordo,540.0
Etzatlán,364.0
San Miguel el Alto,618.0
Tonaya,63.0
Talpa de Allende,260.0
Mazamitla,259.0
Gómez Farías,289.0
Tototlán,434.0
Santa María del Oro ,16.0
Acatlán de Juárez,414.0
Total estatal,139173.0
Cihuatlán,779.0
Colotlán,376.0
Huejúcar,83.0
San Gabriel,309.0
Juanacatlán,364.0
Amatitán,357.0
Chiquilistlán,145.0
Lagos de Moreno,3253.0
Sayula,659.0
El Salto,3624.0
Bolaños,237.0
Ejutla ,56.0
Tomatlán,653.0
San Diego de Alejandría,181.0
Tala,1498.0
Quitupan,149.0
Ixtlahuacán del Río,394.0
Atoyac,122.0
Concepción de Buenos Aires,101.0
Tuxpan,606.0
Chimaltitán ,69.0
Jocotepec,977.0
Unión de San Antonio,360.0
Zapotlanejo,1458.0
San Marcos ,71.0
Tamazula de Gordiano,789.0
Tonalá,8020.0
Tizapán el Alto,468.0
Juchitlán,101.0
Hostotipaquillo,177.0
Cañadas de Obregón ,100.0
La Huerta,359.0
Guadalajara,23026.0
Mixtlán ,52.0
Teuchitlán,148.0
Techaluta de Montenegro ,93.0
Tuxcueca,155.0
Amacueca,115.0
Atemajac de Brizuela,167.0
Cuautitlán de García Barragán,317.0
Ayotlán,828.0
Ayutla,231.0
San Cristóbal de la Barranca ,85.0
San Juanito de Escobedo,154.0
Tecalitlán,285.0
Ojuelos de Jalisco,662.0
San Martín de Bolaños ,66.0
Zapotlán del Rey,330.0
Atenguillo ,47.0
Villa Guerrero,123.0
El Arenal,431.0
Chapala,1036.0
San Juan de los Lagos,1565.0
Unión de Tula,248.0
Mascota,220.0
San Pedro Tlaquepaque,12093.0
Jamay,520.0
Zapotiltic,573.0
Guachinango ,81.0
Tepatitlán de Morelos,3186.0
La Barca,1304.0
Atengo,111.0
Acatic,487.0
Zapopan,21112.0
Huejuquilla el Alto,204.0
Tonila,119.0
Tuxcacuesco ,103.0
Degollado,402.0
Tlajomulco de Zúñiga,9937.0
Tapalpa,520.0
La Manzanilla de la Paz ,80.0
Villa Purificación,216.0
Teocuitatlán de Corona,148.0
Tenamaxtlán,127.0
Encarnación de Díaz,1063.0
Jalostotitlán,800.0
Casimiro Castillo,355.0
Villa Hidalgo,394.0
Poncitlán,1333.0
Mexticacán,129.0
Ocotlán,1768.0
Tecolotlán,313.0
Zapotitlán de Vadillo,141.0
Santa María de los Ángeles ,51.0
Valle de Guadalupe,177.0
Arandas,1596.0
