Municipio,Total
Totatiche,36.0
Cocula,29.0
Cuautla ,0.0
Zapotlán el Grande,214.0
Mezquitic ,11591.0
Ahualulco de Mercado,17.0
San Sebastián del Oeste,2.0
Atotonilco el Alto,122.0
Teocaltiche,117.0
Tequila,75.0
Tolimán,26.0
El Limón,8.0
Magdalena,60.0
Pihuamo,14.0
Ixtlahuacán de los Membrillos,150.0
Jesús María,27.0
San Martín Hidalgo,37.0
Valle de Juárez,14.0
Autlán de Navarro,575.0
Zacoalco de Torres,43.0
Puerto Vallarta,2389.0
Jilotlán de los Dolores,10.0
Villa Corona,26.0
San Julián,21.0
El Grullo,142.0
Ameca,152.0
Yahualica de González Gallo,28.0
Cabo Corrientes,21.0
Cuquío,23.0
San Ignacio Cerro Gordo,54.0
Etzatlán,21.0
San Miguel el Alto,103.0
Tonaya,9.0
Talpa de Allende,23.0
Mazamitla,23.0
Gómez Farías,5.0
Tototlán,14.0
Santa María del Oro ,2.0
Acatlán de Juárez,503.0
Total estatal,51702.0
Cihuatlán,398.0
Colotlán,271.0
Huejúcar,14.0
San Gabriel,524.0
Juanacatlán,24.0
Amatitán,20.0
Chiquilistlán,7.0
Lagos de Moreno,210.0
Sayula,123.0
El Salto,476.0
Bolaños,3777.0
Ejutla ,0.0
Tomatlán,290.0
San Diego de Alejandría,7.0
Tala,263.0
Quitupan,7.0
Ixtlahuacán del Río,16.0
Atoyac,43.0
Concepción de Buenos Aires,9.0
Tuxpan,187.0
Chimaltitán ,45.0
Jocotepec,76.0
Unión de San Antonio,25.0
Zapotlanejo,118.0
San Marcos ,1.0
Tamazula de Gordiano,99.0
Tonalá,1719.0
Tizapán el Alto,35.0
Juchitlán,9.0
Hostotipaquillo,70.0
Cañadas de Obregón ,3.0
La Huerta,67.0
Guadalajara,5471.0
Mixtlán ,2.0
Teuchitlán,8.0
Techaluta de Montenegro ,3.0
Tuxcueca,10.0
Amacueca,4.0
Atemajac de Brizuela,9.0
Cuautitlán de García Barragán,150.0
Ayotlán,59.0
Ayutla,14.0
San Cristóbal de la Barranca ,37.0
San Juanito de Escobedo,25.0
Tecalitlán,24.0
Ojuelos de Jalisco,31.0
San Martín de Bolaños ,96.0
Zapotlán del Rey,8.0
Atenguillo ,13.0
Villa Guerrero,260.0
El Arenal,25.0
Chapala,135.0
San Juan de los Lagos,117.0
Unión de Tula,13.0
Mascota,15.0
San Pedro Tlaquepaque,3175.0
Jamay,64.0
Zapotiltic,36.0
Guachinango ,6.0
Tepatitlán de Morelos,243.0
La Barca,107.0
Atengo,4.0
Acatic,35.0
Zapopan,12339.0
Huejuquilla el Alto,494.0
Tonila,9.0
Tuxcacuesco ,47.0
Degollado,70.0
Tlajomulco de Zúñiga,2035.0
Tapalpa,25.0
La Manzanilla de la Paz ,3.0
Villa Purificación,14.0
Teocuitatlán de Corona,16.0
Tenamaxtlán,17.0
Encarnación de Díaz,84.0
Jalostotitlán,67.0
Casimiro Castillo,34.0
Villa Hidalgo,38.0
Poncitlán,61.0
Mexticacán,9.0
Ocotlán,195.0
Tecolotlán,20.0
Zapotitlán de Vadillo,15.0
Santa María de los Ángeles ,2.0
Valle de Guadalupe,10.0
Arandas,240.0
