Municipio,Total
Totatiche,4180.0
Cocula,29267.0
Cuautla ,2166.0
Zapotlán el Grande,115141.0
Mezquitic ,22083.0
Ahualulco de Mercado,23630.0
San Sebastián del Oeste,5086.0
Atotonilco el Alto,64009.0
Teocaltiche,39839.0
Tequila,44353.0
Tolimán,11219.0
El Limón,5368.0
Magdalena,21781.0
Pihuamo,11386.0
Ixtlahuacán de los Membrillos,67969.0
Jesús María,18982.0
San Martín Hidalgo,28102.0
Valle de Juárez,6151.0
Autlán de Navarro,64931.0
Zacoalco de Torres,30472.0
Puerto Vallarta,291839.0
Jilotlán de los Dolores,9425.0
Villa Corona,19063.0
San Julián,16792.0
El Grullo,25920.0
Ameca,60386.0
Yahualica de González Gallo,22394.0
Cabo Corrientes,10940.0
Cuquío,17820.0
San Ignacio Cerro Gordo,18341.0
Etzatlán,20011.0
San Miguel el Alto,31965.0
Tonaya,5961.0
Talpa de Allende,14997.0
Mazamitla,14043.0
Gómez Farías,16431.0
Tototlán,23573.0
Santa María del Oro ,1815.0
Acatlán de Juárez,25250.0
Total estatal,8.348151e6
Cihuatlán,40139.0
Colotlán,19689.0
Huejúcar,5920.0
San Gabriel,16548.0
Juanacatlán,30855.0
Amatitán,16490.0
Chiquilistlán,5983.0
Lagos de Moreno,172403.0
Sayula,37186.0
El Salto,232852.0
Bolaños,7043.0
Ejutla ,1981.0
Tomatlán,36316.0
San Diego de Alejandría,7609.0
Tala,87690.0
Quitupan,7734.0
Ixtlahuacán del Río,20465.0
Atoyac,8689.0
Concepción de Buenos Aires,6334.0
Tuxpan,37518.0
Chimaltitán ,3270.0
Jocotepec,47105.0
Unión de San Antonio,19069.0
Zapotlanejo,64806.0
San Marcos ,3791.0
Tamazula de Gordiano,38955.0
Tonalá,569913.0
Tizapán el Alto,22758.0
Juchitlán,5534.0
Hostotipaquillo,8732.0
Cañadas de Obregón ,4388.0
La Huerta,23258.0
Guadalajara,1.385629e6
Mixtlán ,3638.0
Teuchitlán,9647.0
Techaluta de Montenegro ,4072.0
Tuxcueca,6702.0
Amacueca,5743.0
Atemajac de Brizuela,7758.0
Cuautitlán de García Barragán,18370.0
Ayotlán,41552.0
Ayutla,12880.0
San Cristóbal de la Barranca ,2924.0
San Juanito de Escobedo,9433.0
Tecalitlán,16705.0
Ojuelos de Jalisco,33588.0
San Martín de Bolaños ,3095.0
Zapotlán del Rey,19279.0
Atenguillo ,4176.0
Villa Guerrero,5525.0
El Arenal,21115.0
Chapala,55196.0
San Juan de los Lagos,72230.0
Unión de Tula,13799.0
Mascota,14451.0
San Pedro Tlaquepaque,687127.0
Jamay,24894.0
Zapotiltic,33713.0
Guachinango ,4199.0
Tepatitlán de Morelos,150190.0
La Barca,67937.0
Atengo,5599.0
Acatic,23175.0
Zapopan,1.476491e6
Huejuquilla el Alto,10015.0
Tonila,7565.0
Tuxcacuesco ,5482.0
Degollado,21226.0
Tlajomulco de Zúñiga,727750.0
Tapalpa,21245.0
La Manzanilla de la Paz ,4099.0
Villa Purificación,11303.0
Teocuitatlán de Corona,11039.0
Tenamaxtlán,7302.0
Encarnación de Díaz,53039.0
Jalostotitlán,32678.0
Casimiro Castillo,20548.0
Villa Hidalgo,20088.0
Poncitlán,53659.0
Mexticacán,5307.0
Ocotlán,106050.0
Tecolotlán,16603.0
Zapotitlán de Vadillo,7466.0
Santa María de los Ángeles ,3515.0
Valle de Guadalupe,6627.0
Arandas,80609.0
