Municipio,Porcentaje de hombres
Totatiche,50.5980861244019
Cocula,49.1850890080979
Cuautla ,48.7996306555863
Zapotlán el Grande,48.7992982517088
Mezquitic ,48.0686500928316
Ahualulco de Mercado,49.868810833686
San Sebastián del Oeste,51.8088871411718
Atotonilco el Alto,49.322751488072
Teocaltiche,48.0910665428349
Tequila,49.3563005884608
Tolimán,49.6033514573491
El Limón,49.7391952309985
Magdalena,48.6157660346173
Pihuamo,49.8331284033023
Ixtlahuacán de los Membrillos,49.1724168370875
Jesús María,46.7495522073543
San Martín Hidalgo,49.1103836025906
Valle de Juárez,48.609982116729
Autlán de Navarro,49.1075141303846
Zacoalco de Torres,50.4134943554739
Puerto Vallarta,50.0916601276731
Jilotlán de los Dolores,53.6127320954907
Villa Corona,49.7823007921104
San Julián,47.9454502143878
El Grullo,48.7114197530864
Ameca,48.9583678336038
Yahualica de González Gallo,47.8387067964633
Cabo Corrientes,51.5904936014625
Cuquío,48.5690235690236
San Ignacio Cerro Gordo,48.6014939207241
Etzatlán,48.8931087901654
San Miguel el Alto,48.6438291881746
Tonaya,48.6160040261701
Talpa de Allende,49.9699939987998
Mazamitla,48.1378622801396
Gómez Farías,49.1631671839815
Tototlán,49.0476392482925
Santa María del Oro ,50.3581267217631
Acatlán de Juárez,52.4514851485149
Total estatal,49.0941646838923
Cihuatlán,49.774533496101
Colotlán,48.1588704352684
Huejúcar,49.1047297297297
San Gabriel,49.5346869712352
Juanacatlán,49.4538972613839
Amatitán,49.630078835658
Chiquilistlán,49.7242186194217
Lagos de Moreno,48.7097092277977
Sayula,48.36228688216
El Salto,52.2606634256953
Bolaños,49.7231293482891
Ejutla ,50.8329126703685
Tomatlán,50.7875316664831
San Diego de Alejandría,49.1391772900513
Tala,49.625955068993
Quitupan,47.5433152314456
Ixtlahuacán del Río,48.7466406059125
Atoyac,48.4981010473012
Concepción de Buenos Aires,50.4894221660878
Tuxpan,48.9151873767258
Chimaltitán ,49.6636085626911
Jocotepec,49.3132363867955
Unión de San Antonio,48.8908699984268
Zapotlanejo,49.1960620930161
San Marcos ,49.9340543392245
Tamazula de Gordiano,49.0822744192016
Tonalá,49.4277196694934
Tizapán el Alto,49.1211881536163
Juchitlán,48.2291290205999
Hostotipaquillo,50.0229042601924
Cañadas de Obregón ,49.9316317228806
La Huerta,49.987101212486
Guadalajara,48.1367667680165
Mixtlán ,49.9450247388675
Teuchitlán,48.8131025189178
Techaluta de Montenegro ,49.3860510805501
Tuxcueca,48.4482244106237
Amacueca,48.3371060421383
Atemajac de Brizuela,49.5875225573601
Cuautitlán de García Barragán,50.8818726183996
Ayotlán,49.0084713130535
Ayutla,49.7981366459627
San Cristóbal de la Barranca ,50.1025991792066
San Juanito de Escobedo,50.037103784586
Tecalitlán,49.4223286441185
Ojuelos de Jalisco,48.4041919733238
San Martín de Bolaños ,48.7883683360258
Zapotlán del Rey,49.271227760776
Atenguillo ,49.2097701149425
Villa Guerrero,49.9909502262443
El Arenal,48.9936064409188
Chapala,48.5814189434017
San Juan de los Lagos,49.4642115464488
Unión de Tula,48.4382926299007
Mascota,48.7094318732268
San Pedro Tlaquepaque,49.3131546278927
Jamay,50.0682895476822
Zapotiltic,49.319253700353
Guachinango ,51.2979280781138
Tepatitlán de Morelos,49.0778347426593
La Barca,48.355093689742
Atengo,50.598321128773
Acatic,49.1175836030205
Zapopan,48.8043611508638
Huejuquilla el Alto,48.3075386919621
Tonila,49.8215465961666
Tuxcacuesco ,50.7843852608537
Degollado,48.3510788655423
Tlajomulco de Zúñiga,49.5145310889729
Tapalpa,49.7105201223817
La Manzanilla de la Paz ,48.841180775799
Villa Purificación,50.3848535786959
Teocuitatlán de Corona,49.7780596068484
Tenamaxtlán,48.9454943851
Encarnación de Díaz,48.2041516619846
Jalostotitlán,48.9993267641839
Casimiro Castillo,49.6106677048861
Villa Hidalgo,48.1381919553963
Poncitlán,49.162302689204
Mexticacán,46.1089127567364
Ocotlán,48.8213107024988
Tecolotlán,49.5753779437451
Zapotitlán de Vadillo,50.5491561746584
Santa María de los Ángeles ,48.8193456614509
Valle de Guadalupe,49.3285046023842
Arandas,48.9920480343386
