Municipio,Total
Totatiche,Totatiche
Cocula,Cocula
Cuautla ,Cuautla 
Zapotlán el Grande,Zapotlán el Grande
Mezquitic ,Mezquitic 
Ahualulco de Mercado,Ahualulco de Mercado
San Sebastián del Oeste,San Sebastián del Oeste
Atotonilco el Alto,Atotonilco el Alto
Teocaltiche,Teocaltiche
Tequila,Tequila
Tolimán,Tolimán
El Limón,El Limón
Magdalena,Magdalena
Pihuamo,Pihuamo
Ixtlahuacán de los Membrillos,Ixtlahuacán de los Membrillos
Jesús María,Jesús María
San Martín Hidalgo,San Martín Hidalgo
Valle de Juárez,Valle de Juárez
Autlán de Navarro,Autlán de Navarro
Zacoalco de Torres,Zacoalco de Torres
Puerto Vallarta,Puerto Vallarta
Jilotlán de los Dolores,Jilotlán de los Dolores
Villa Corona,Villa Corona
San Julián,San Julián
El Grullo,El Grullo
Ameca,Ameca
Yahualica de González Gallo,Yahualica de González Gallo
Cabo Corrientes,Cabo Corrientes
Cuquío,Cuquío
San Ignacio Cerro Gordo,San Ignacio Cerro Gordo
Etzatlán,Etzatlán
San Miguel el Alto,San Miguel el Alto
Tonaya,Tonaya
Talpa de Allende,Talpa de Allende
Mazamitla,Mazamitla
Gómez Farías,Gómez Farías
Tototlán,Tototlán
Santa María del Oro ,Santa María del Oro 
Acatlán de Juárez,Acatlán de Juárez
Total estatal,Total estatal
Cihuatlán,Cihuatlán
Colotlán,Colotlán
Huejúcar,Huejúcar
San Gabriel,San Gabriel
Juanacatlán,Juanacatlán
Amatitán,Amatitán
Chiquilistlán,Chiquilistlán
Lagos de Moreno,Lagos de Moreno
Sayula,Sayula
El Salto,El Salto
Bolaños,Bolaños
Ejutla ,Ejutla 
Tomatlán,Tomatlán
San Diego de Alejandría,San Diego de Alejandría
Tala,Tala
Quitupan,Quitupan
Ixtlahuacán del Río,Ixtlahuacán del Río
Atoyac,Atoyac
Concepción de Buenos Aires,Concepción de Buenos Aires
Tuxpan,Tuxpan
Chimaltitán ,Chimaltitán 
Jocotepec,Jocotepec
Unión de San Antonio,Unión de San Antonio
Zapotlanejo,Zapotlanejo
San Marcos ,San Marcos 
Tamazula de Gordiano,Tamazula de Gordiano
Tonalá,Tonalá
Tizapán el Alto,Tizapán el Alto
Juchitlán,Juchitlán
Hostotipaquillo,Hostotipaquillo
Cañadas de Obregón ,Cañadas de Obregón 
La Huerta,La Huerta
Guadalajara,Guadalajara
Mixtlán ,Mixtlán 
Teuchitlán,Teuchitlán
Techaluta de Montenegro ,Techaluta de Montenegro 
Tuxcueca,Tuxcueca
Amacueca,Amacueca
Atemajac de Brizuela,Atemajac de Brizuela
Cuautitlán de García Barragán,Cuautitlán de García Barragán
Ayotlán,Ayotlán
Ayutla,Ayutla
San Cristóbal de la Barranca ,San Cristóbal de la Barranca 
San Juanito de Escobedo,San Juanito de Escobedo
Tecalitlán,Tecalitlán
Ojuelos de Jalisco,Ojuelos de Jalisco
San Martín de Bolaños ,San Martín de Bolaños 
Zapotlán del Rey,Zapotlán del Rey
Atenguillo ,Atenguillo 
Villa Guerrero,Villa Guerrero
El Arenal,El Arenal
Chapala,Chapala
San Juan de los Lagos,San Juan de los Lagos
Unión de Tula,Unión de Tula
Mascota,Mascota
San Pedro Tlaquepaque,San Pedro Tlaquepaque
Jamay,Jamay
Zapotiltic,Zapotiltic
Guachinango ,Guachinango 
Tepatitlán de Morelos,Tepatitlán de Morelos
La Barca,La Barca
Atengo,Atengo
Acatic,Acatic
Zapopan,Zapopan
Huejuquilla el Alto,Huejuquilla el Alto
Tonila,Tonila
Tuxcacuesco ,Tuxcacuesco 
Degollado,Degollado
Tlajomulco de Zúñiga,Tlajomulco de Zúñiga
Tapalpa,Tapalpa
La Manzanilla de la Paz ,La Manzanilla de la Paz 
Villa Purificación,Villa Purificación
Teocuitatlán de Corona,Teocuitatlán de Corona
Tenamaxtlán,Tenamaxtlán
Encarnación de Díaz,Encarnación de Díaz
Jalostotitlán,Jalostotitlán
Casimiro Castillo,Casimiro Castillo
Villa Hidalgo,Villa Hidalgo
Poncitlán,Poncitlán
Mexticacán,Mexticacán
Ocotlán,Ocotlán
Tecolotlán,Tecolotlán
Zapotitlán de Vadillo,Zapotitlán de Vadillo
Santa María de los Ángeles ,Santa María de los Ángeles 
Valle de Guadalupe,Valle de Guadalupe
Arandas,Arandas
