Municipio,Total
Jiménez,115.0
Jungapeo,132.0
Nuevo Parangaricutiro,96.0
Tlalpujahua,205.0
Aquila,119.0
Copándaro,70.0
Charapan,68.0
Cojumatlán de Régules,86.0
Tzintzuntzan,96.0
Taretan,100.0
Panindícuaro,139.0
Puruándiro,505.0
Jacona,523.0
Álvaro Obregón,137.0
Charo,120.0
Chilchota,239.0
San Lucas,106.0
Salvador Escalante,264.0
Tingüindín,121.0
Huaniqueo,76.0
Tumbiscatío,40.0
Numarán,87.0
Tocumbo,108.0
Angangueo,65.0
Nuevo Urecho,47.0
Tingambato,65.0
Venustiano Carranza,187.0
Tancítaro,177.0
Huandacareo,98.0
Morelia,4406.0
Angamacutiro,136.0
Villamar,164.0
Huetamo,264.0
Hidalgo,664.0
Pajacuarán,141.0
Tanhuato,110.0
Tacámbaro,490.0
Total estatal,28982.0
Zamora,1452.0
Múgica,347.0
Senguio,118.0
Erongarícuaro,104.0
Pátzcuaro,508.0
Briseñas,51.0
Aguililla,84.0
Cherán,105.0
Tzitzio,55.0
Tiquicheo de Nicolás Romero,91.0
Sahuayo,507.0
Tangamandapio,130.0
Ecuandureo,135.0
Indaparapeo,93.0
La Piedad,776.0
Lagunillas,49.0
Nocupétaro,53.0
Tuxpan,142.0
Ocampo,111.0
Coahuayana,96.0
Madero,103.0
Arteaga,124.0
Zináparo ,35.0
Epitacio Huerta,93.0
Purépero,134.0
Marcos Castellanos,81.0
Cotija,161.0
Quiroga,185.0
Uruapan,2137.0
Tlazazalca,74.0
Penjamillo,170.0
Tepalcatepec,175.0
Ziracuaretiro,101.0
Churumuco,89.0
Zacapu,577.0
Vista Hermosa,156.0
Gabriel Zamora,108.0
Buenavista,273.0
Coeneo,206.0
Juárez,103.0
Yurécuaro,199.0
Ixtlán,121.0
Susupuato,54.0
Paracho,183.0
Apatzingán,824.0
Ario,240.0
Carácuaro,63.0
Acuitzio,66.0
Los Reyes,423.0
Lázaro Cárdenas,902.0
Zitácuaro,1008.0
Turicato,237.0
Cuitzeo,228.0
Aporo ,21.0
La Huacana,209.0
Tuzantla,110.0
Morelos,79.0
Zinapécuaro,348.0
Chinicuila ,32.0
Parácuaro,160.0
Chucándiro,50.0
Tangancícuaro,272.0
Nahuatzen,162.0
Churintzio,73.0
Irimbo,80.0
Queréndaro,98.0
Huiramba,35.0
Chavinda,73.0
Jiquilpan,294.0
Maravatío,455.0
Peribán,179.0
Santa Ana Maya,98.0
José Sixto Verduzco,222.0
Tarímbaro,392.0
Contepec,192.0
Coalcomán de Vázquez Pallares,135.0
