Municipio,Total
Jiménez,66.5643581052078
Jungapeo,74.7082878518836
Nuevo Parangaricutiro,89.2851498360456
Tlalpujahua,144.804913170461
Aquila,10.898202309402
Copándaro,54.7331633225288
Charapan,57.9183972831576
Cojumatlán de Régules,80.4959533427959
Tzintzuntzan,80.8667287066888
Taretan,84.2212481782058
Panindícuaro,51.4737563415056
Puruándiro,96.3368589835757
Jacona,579.444356204679
Álvaro Obregón,144.185388760336
Charo,77.8161488543265
Chilchota,133.146459095958
San Lucas,37.7788138523144
Salvador Escalante,102.275335818718
Tingüindín,86.4425943950818
Huaniqueo,39.6177091148574
Tumbiscatío,2.89489671885284
Numarán,122.709356457295
Tocumbo,24.3557312001736
Angangueo,141.752169450906
Nuevo Urecho,27.3212247496343
Tingambato,86.0319255330183
Venustiano Carranza,103.101199125084
Tancítaro,46.8362125637629
Huandacareo,121.021949799781
Morelia,712.037389638978
Angamacutiro,62.1877671671147
Villamar,45.3039711288763
Huetamo,20.4021121238236
Hidalgo,109.945418035819
Pajacuarán,123.426919240573
Tanhuato,68.1087931565923
Tacámbaro,101.091107034465
Total estatal,81.0401408912087
Zamora,611.450303289087
Múgica,121.120846179818
Senguio,79.2354932705218
Erongarícuaro,64.4115218648611
Pátzcuaro,224.339199282235
Briseñas,172.55024761739
Aguililla,10.5621549254818
Cherán,92.5784876531655
Tzitzio,9.40709719809829
Tiquicheo de Nicolás Romero,8.59728635815604
Sahuayo,612.562880350084
Tangamandapio,100.348350172746
Ecuandureo,38.9595292193982
Indaparapeo,104.185148497865
La Piedad,373.988930999985
Lagunillas,79.0571705525987
Nocupétaro,15.0241657029146
Tuxpan,105.812002468091
Ocampo,174.150006990073
Coahuayana,46.5137018822694
Madero,18.7182629286815
Arteaga,5.92017624478682
Zináparo ,28.5561616855236
Epitacio Huerta,38.0346134789363
Purépero,80.4655939049293
Marcos Castellanos,60.0034146487283
Cotija,39.9945377940188
Quiroga,127.375399832586
Uruapan,352.236189466098
Tlazazalca,31.5071125976471
Penjamillo,44.770700728095
Tepalcatepec,30.1635038209606
Ziracuaretiro,115.030747140494
Churumuco,11.1284500959557
Zacapu,168.973279913557
Vista Hermosa,142.156865106116
Gabriel Zamora,58.4408315858326
Buenavista,49.3709783747272
Coeneo,53.2542684497082
Juárez,105.933178973036
Yurécuaro,185.232508672813
Ixtlán,115.42452273698
Susupuato,33.8708278636362
Paracho,162.417525031368
Apatzingán,76.9332162375003
Ario,52.1708771622942
Carácuaro,9.9952046424098
Acuitzio,64.09347719119
Los Reyes,164.132502419524
Lázaro Cárdenas,170.397379415548
Zitácuaro,306.396584728931
Turicato,18.7931891931952
Cuitzeo,117.569121180925
Aporo ,60.4122381202896
La Huacana,15.6898873423365
Tuzantla,14.0744636157251
Morelos,43.529609156028
Zinapécuaro,82.1639494068124
Chinicuila ,4.66995091974493
Parácuaro,53.3044091806076
Chucándiro,25.7097196261815
Tangancícuaro,91.5390864629114
Nahuatzen,107.175737991239
Churintzio,22.8097436253084
Irimbo,126.669719963034
Queréndaro,59.4429730079673
Huiramba,113.962286265296
Chavinda,68.5026611774665
Jiquilpan,148.656628185513
Maravatío,128.006911441591
Peribán,88.573034452299
Santa Ana Maya,123.08108912305
José Sixto Verduzco,119.323287233037
Tarímbaro,447.858043896382
Contepec,92.565901828866
Coalcomán de Vázquez Pallares,6.94644774020061
