Municipio,Total
Jiménez,34.0
Jungapeo,26.0
Nuevo Parangaricutiro,26.0
Tlalpujahua,26.0
Aquila,23.0
Copándaro,28.0
Charapan,27.0
Cojumatlán de Régules,29.0
Tzintzuntzan,28.0
Taretan,28.0
Panindícuaro,31.0
Puruándiro,30.0
Jacona,27.0
Álvaro Obregón,28.0
Charo,30.0
Chilchota,26.0
San Lucas,31.0
Salvador Escalante,25.0
Tingüindín,30.0
Huaniqueo,39.0
Tumbiscatío,27.0
Numarán,30.5
Tocumbo,32.0
Angangueo,27.0
Nuevo Urecho,28.0
Tingambato,26.0
Venustiano Carranza,30.0
Tancítaro,24.0
Huandacareo,32.0
Morelia,30.0
Angamacutiro,31.0
Villamar,33.0
Huetamo,30.0
Hidalgo,27.0
Pajacuarán,27.0
Tanhuato,30.0
Tacámbaro,25.0
Total estatal,28.0
Zamora,29.0
Múgica,26.0
Senguio,25.0
Erongarícuaro,29.0
Pátzcuaro,27.0
Briseñas,28.0
Aguililla,27.0
Cherán,26.0
Tzitzio,25.0
Tiquicheo de Nicolás Romero,26.0
Sahuayo,29.0
Tangamandapio,25.0
Ecuandureo,36.0
Indaparapeo,27.0
La Piedad,30.0
Lagunillas,28.0
Nocupétaro,25.0
Tuxpan,28.0
Ocampo,22.0
Coahuayana,27.0
Madero,24.0
Arteaga,28.0
Zináparo ,38.0
Epitacio Huerta,29.0
Purépero,33.0
Marcos Castellanos,30.0
Cotija,30.0
Quiroga,29.0
Uruapan,28.0
Tlazazalca,36.0
Penjamillo,33.0
Tepalcatepec,29.0
Ziracuaretiro,25.0
Churumuco,27.0
Zacapu,30.0
Vista Hermosa,29.0
Gabriel Zamora,28.0
Buenavista,27.0
Coeneo,33.0
Juárez,27.0
Yurécuaro,27.0
Ixtlán,30.0
Susupuato,26.0
Paracho,27.0
Apatzingán,27.0
Ario,27.0
Carácuaro,25.0
Acuitzio,28.0
Los Reyes,26.0
Lázaro Cárdenas,28.0
Zitácuaro,27.0
Turicato,26.0
Cuitzeo,29.0
Aporo ,27.0
La Huacana,28.0
Tuzantla,27.0
Morelos,34.0
Zinapécuaro,29.0
Chinicuila ,27.0
Parácuaro,26.0
Chucándiro,35.0
Tangancícuaro,29.0
Nahuatzen,25.0
Churintzio,37.0
Irimbo,26.0
Queréndaro,28.0
Huiramba,25.0
Chavinda,31.0
Jiquilpan,31.0
Maravatío,26.0
Peribán,26.0
Santa Ana Maya,32.0
José Sixto Verduzco,32.0
Tarímbaro,28.0
Contepec,26.0
Coalcomán de Vázquez Pallares,26.0
