Municipio,Total
Jiménez,225.0
Jungapeo,352.0
Nuevo Parangaricutiro,471.0
Tlalpujahua,490.0
Aquila,675.0
Copándaro,186.0
Charapan,300.0
Cojumatlán de Régules,167.0
Tzintzuntzan,319.0
Taretan,321.0
Panindícuaro,319.0
Puruándiro,1112.0
Jacona,1463.0
Álvaro Obregón,437.0
Charo,410.0
Chilchota,897.0
San Lucas,367.0
Salvador Escalante,1154.0
Tingüindín,256.0
Huaniqueo,107.0
Tumbiscatío,119.0
Numarán,225.0
Tocumbo,231.0
Angangueo,229.0
Nuevo Urecho,156.0
Tingambato,353.0
Venustiano Carranza,411.0
Tancítaro,837.0
Huandacareo,163.0
Morelia,12760.0
Angamacutiro,256.0
Villamar,279.0
Huetamo,851.0
Hidalgo,2687.0
Pajacuarán,370.0
Tanhuato,292.0
Tacámbaro,1896.0
Total estatal,91294.0
Zamora,3632.0
Múgica,1206.0
Senguio,498.0
Erongarícuaro,338.0
Pátzcuaro,1916.0
Briseñas,116.0
Aguililla,391.0
Cherán,487.0
Tzitzio,200.0
Tiquicheo de Nicolás Romero,242.0
Sahuayo,1293.0
Tangamandapio,692.0
Ecuandureo,152.0
Indaparapeo,350.0
La Piedad,1838.0
Lagunillas,121.0
Nocupétaro,212.0
Tuxpan,697.0
Ocampo,663.0
Coahuayana,432.0
Madero,469.0
Arteaga,395.0
Zináparo ,44.0
Epitacio Huerta,251.0
Purépero,267.0
Marcos Castellanos,248.0
Cotija,365.0
Quiroga,630.0
Uruapan,7073.0
Tlazazalca,113.0
Penjamillo,270.0
Tepalcatepec,497.0
Ziracuaretiro,527.0
Churumuco,323.0
Zacapu,1417.0
Vista Hermosa,303.0
Gabriel Zamora,460.0
Buenavista,952.0
Coeneo,362.0
Juárez,234.0
Yurécuaro,615.0
Ixtlán,246.0
Susupuato,135.0
Paracho,899.0
Apatzingán,2719.0
Ario,947.0
Carácuaro,210.0
Acuitzio,197.0
Los Reyes,1888.0
Lázaro Cárdenas,3482.0
Zitácuaro,3509.0
Turicato,756.0
Cuitzeo,578.0
Aporo ,62.0
La Huacana,766.0
Tuzantla,237.0
Morelos,118.0
Zinapécuaro,897.0
Chinicuila ,136.0
Parácuaro,647.0
Chucándiro,89.0
Tangancícuaro,739.0
Nahuatzen,784.0
Churintzio,78.0
Irimbo,343.0
Queréndaro,315.0
Huiramba,176.0
Chavinda,195.0
Jiquilpan,660.0
Maravatío,2020.0
Peribán,725.0
Santa Ana Maya,200.0
José Sixto Verduzco,419.0
Tarímbaro,1491.0
Contepec,719.0
Coalcomán de Vázquez Pallares,463.0
